staging_id,legacy_record_id,document_no,project_id,project_name,header_amount,line_rows,line_amount,target_model,action,reason
10996,65742168c96e441aa7ba2fc2a3467a43,RKD-20230721-001,822,孝感翠竹街西路改造,4640.0,6,4640.0,sc.material.inbound,create_material_inbound,
11350,e26329b734454018899acb7aadc21d69,RKD-20230706-001,823,面粉厂等小区改造项目,85078.0,1,85078.0,sc.material.inbound,create_material_inbound,
11323,d878d90fc2da4004abde9af3ecaa609e,RKD-20230817-002,811,三星堆环线基础设施改造,7800.0,1,7800.0,sc.material.inbound,create_material_inbound,
10981,60b568483e3143f1921591d173cf538a,RKD-20230817-001,811,三星堆环线基础设施改造,72940.0,3,72940.0,sc.material.inbound,create_material_inbound,
11131,98d76d32cd45492fa19e8f620fd68541,RKD-20230922-003,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,297900.0,3,297900.0,sc.material.inbound,create_material_inbound,
11357,e52a8b0a00f24a53a61983d68996eb15,RKD-20230727-003,811,三星堆环线基础设施改造,4560.0,1,4560.0,sc.material.inbound,create_material_inbound,
11012,6bc4d895f5bd4b2ca4a02e9998721cde,RKD-20230818-001,811,三星堆环线基础设施改造,2091.0,2,2091.0,sc.material.inbound,create_material_inbound,
11327,dafbebcd6cd941c288c26a12caec112f,RKD-20230727-005,811,三星堆环线基础设施改造,8454.8,2,8454.8,sc.material.inbound,create_material_inbound,
10843,2fa6a7bfd5ff4252b36ed2b1dc1cc62c,RKD-20230922-020,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,372499.14,2,372499.14,sc.material.inbound,create_material_inbound,
11071,829c816a619e40ed81e0626e9a8d7d5b,RKD-20230728-001,811,三星堆环线基础设施改造,875965.4,1,875965.4,sc.material.inbound,create_material_inbound,
10778,150f01310c9447d9bf8ed3a697904c62,RKD-20230908-003,812,二重厂西路等4条道路工程,31320.0,1,31320.0,sc.material.inbound,create_material_inbound,
11007,6a4ac24ec7fa446383cb2c8743678a56,RKD-20230922-049,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,520.0,1,520.0,sc.material.inbound,create_material_inbound,
10766,0fd7be0eab1d4f7194d3aa67d04dc9ac,RKD-20230922-016,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,77620.08,8,77620.08,sc.material.inbound,create_material_inbound,
10975,5e27b19bf2e14accbddc2345e601be75,RKD-20230922-017,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,73317.69,4,73317.69,sc.material.inbound,create_material_inbound,
11411,fb2bab0f3f8c49c88401a02963c286f6,RKD-20230922-023,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,323999.11,1,323999.11,sc.material.inbound,create_material_inbound,
10769,10ee662509c644d89a8035c52b081e50,RKD-20230922-026,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,223535.0,6,223535.0,sc.material.inbound,create_material_inbound,
11307,d3349cc704714343a9f35a62c1900d63,RKD-20230822-001,822,孝感翠竹街西路改造,299941.69,9,299941.69,sc.material.inbound,create_material_inbound,
10957,59fc66eea8a8452391d19ac4ff0c4ff9,RKD-20230824-002,811,三星堆环线基础设施改造,49875.0,1,49875.0,sc.material.inbound,create_material_inbound,
10901,47e742443a40431ba2b79c0b0e8f2382,RKD-20230828-001,811,三星堆环线基础设施改造,2450.0,1,2450.0,sc.material.inbound,create_material_inbound,
10910,4a4ec1b7504f4102bacfcc2fbde4a58c,RKD-20230829-001,811,三星堆环线基础设施改造,7500.0,1,7500.0,sc.material.inbound,create_material_inbound,
11208,af8588e05f744a65939d51f293d576b7,RKD-20230922-048,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1306.0,1,1306.0,sc.material.inbound,create_material_inbound,
10916,4ecd9ac7994e40c0abfa79803d746655,RKD-20230912-010,823,面粉厂等小区改造项目,158100.0,1,158100.0,sc.material.inbound,create_material_inbound,
