id,legacy_partner_source,legacy_partner_id,name,source_bucket
28608,cooperat_company,9842ef7fdb55459988827328f958d6d7,重庆欢林建材销售有限公司,partner_master
28609,cooperat_company,984fa48a9f294da6a7daba5eb6626b8a,重庆云之尚建材有限公司,partner_master
28610,cooperat_company,985428d798904eadb5863a805863403a,杭州安和武科技有限公司,partner_master
28611,cooperat_company,98860155b1b84b82bff18160b22eca85,荣昌区代森五金建材经营部,partner_master
28612,company_supplier,98868cc3108d4aebb418339eb9fd8be2,广西吉长旺新材料科技有限公司,partner_master
28613,cooperat_company,9888655a147a48c08919f2f85e9a91ff,重庆康迈能源有限公司,partner_master
28614,company_supplier,98a1baa29b8f4ea182abd5a0ccdcf989,四川美克罗建材有限公司,partner_master
28615,company_supplier,98a8df0364f84c36be4d7eb8c792d1a1,德阳旌东明阳五金经营部,partner_master
28616,company_supplier,98b6f3a87c2d449f95031d1f2acea12d,四川华一众创新材料有限公司,partner_master
28617,company_supplier,98c252273579425dbad00375d9f1c75d,罗江区调元君芋建材经营部,partner_master
28618,company_supplier,98ccb7905623495e8dfafb35744c3a76,重庆浩洲工程担保有限公司,partner_master
28619,cooperat_company,98da2264e3e342ab96c1bdf1de7ed84e,四川小木楼家居有限公司,partner_master
28620,cooperat_company,9941b014636c4cc789196922ec6371fc,四川疯巢防火材料有限公司,partner_master
28621,company_supplier,99436973a9404206aad3d16dc0c6e609,绵阳南锋建筑工程有限公司,partner_master
28622,cooperat_company,9948cb59009c421599e7070c6aa9207b,中山市港口镇精鑫水电安装工程部,partner_master
28623,cooperat_company,994a534a93a84a8b86f98febdcc8ab02,四川瑞熙龙平建筑工程有限公司,partner_master
28624,company_supplier,99606651222d43c59973e97decdb61dd,泰瑞德线缆有限公司,partner_master
28625,company_supplier,996404cbc037416fa557dc6c9f21b7bb,绵阳市安州区河清镇鑫君诚工程机械租赁服务部,partner_master
28626,company_supplier,99656bc8699348d69cb02823b0bc5f8b,德阳市区鲁川利恒建材商贸部,partner_master
28627,company_supplier,997de1ad23784a32985b72962779e852,成都盛联瑞建材有限公司,partner_master
28628,cooperat_company,9988be6832c84569aafbcee4c3373cc1,重庆开九建筑劳务有限公司,partner_master
28629,cooperat_company,998f139af9334b46a428f2ab85dfd573,新疆光鑫茂电线电缆有限公司,partner_master
28630,company_supplier,9991f9825ef444a88b58ada6da394768,四川云尚天翎建筑工程有限公司,partner_master
28631,company_supplier,99a3b50a51c04115b5dfce4b4aceecc5,渝北区业津建材经营部,partner_master
28632,cooperat_company,99b6ff6053904eebb249080896368e49,四川昌益泽保温材料有限公司,partner_master
28633,company_supplier,99bcc44d7c39407398ea265c5bc9bca4,重庆兰夫人建材有限公司,partner_master
