model,id,legacy_material_id,name,code
sc.material.catalog,248,3960617169d740688c2b39ecac25e365,切片椅,SCBS-3960617169d740688c2b39ec
sc.material.catalog,249,b01ded33e05f4a49911998f3f408bd84,切片椅,SCBS-b01ded33e05f4a49911998f3
sc.material.catalog,250,b5315d629782445f80e0da8e8b695931,JS-1型聚合物水泥 防水涂料,SCBS-b5315d629782445f80e0da8e
sc.material.catalog,251,07c6f4c45bf34898ab28c3b1e8109d09,商品混凝土,SCBS-07c6f4c45bf34898ab28c3b1
sc.material.catalog,252,06344964d61344d6930445ed390feb33,镀锌管,SCBS-06344964d61344d6930445ed
sc.material.catalog,253,7f2753afe1fe4bc2af8169690e2ff8f9,反射涂料,SCBS-7f2753afe1fe4bc2af816969
sc.material.catalog,254,bbaa3b7e9a704f11842d8c2cd9e5422e,自粘卷 材-自粘PY类 -SAM930PYIIPE3 10,SCBS-bbaa3b7e9a704f11842d8c2c
sc.material.catalog,255,159b62d1190c4e3499f8e0999b9a01e1,LED黑板灯,SCBS-159b62d1190c4e3499f8e099
sc.material.catalog,256,10496efddb714a58bbdf8fc28f2e8a56,电表箱,SCBS-10496efddb714a58bbdf8fc2
sc.material.catalog,257,bb6adf29468f48118c7d17cf105c0e4a,干混抹灰砂浆,SCBS-bb6adf29468f48118c7d17cf
sc.material.catalog,258,f080ce14610c484a9644ba357d046841,N-HAP热浸塑钢管,SCBS-f080ce14610c484a9644ba35
sc.material.catalog,259,5ec0c3c6621a4857aa3651c28a0dc576,水泥,SCBS-5ec0c3c6621a4857aa3651c2
sc.material.catalog,260,c89d2ff88f51445aa5be8b51af5a7cc4,II级国标钢筋砼平口管,SCBS-c89d2ff88f51445aa5be8b51
sc.material.catalog,261,4ae9a8b1346a4d1198872d0f85ee860c,锈石,SCBS-4ae9a8b1346a4d1198872d0f
sc.material.catalog,262,731cd342c35446bb9d24f48e2a970cc6,热轧光圆钢筋棒材（HPB3000,SCBS-731cd342c35446bb9d24f48e
sc.material.catalog,263,6026b4a6d95247e59cfe015feaf6f58e,热轧带肋钢筋,SCBS-6026b4a6d95247e59cfe015f
