fact_family,staging_id,legacy_record_id,document_no,project_id,project_name,amount_total,reason
payment_negative,4236,7881393815854cd1a2ffbf65375f4e3b,FKD-20240821-029,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-1000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4872,8ac121783bae44c3b9f664530e267e20,FKD-20240823-001,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-1000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,261,07b6e8cc70104e7b9492381a87968e9c,FKD-20240906-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5209,93c46f9d9e984f8d91cca35ca9485126,FK-202409111602,10,龙泉山路二段(赣江路-信江路),-11076.45,negative_payment_requires_refund_or_reversal_target
payment_negative,3463,61e7583a53a94396952cd635fcd82085,FK-202409191608,10,龙泉山路二段(赣江路-信江路),-50000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5624,9eb95b2b71bb49cc99a281e72780fb53,FKD-20240924-002,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-50000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6681,bb3326afbbda4c1aa1a664160f5ebe4b,FK-202409261137,10,龙泉山路二段(赣江路-信江路),-100000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6954,c29b800f192f42d1a0d1a57eada20bb7,FK-202409291028,10,龙泉山路二段(赣江路-信江路),-31527.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1623,2e7daefd6aea410bac52486248028c05,FK-202409291020,10,龙泉山路二段(赣江路-信江路),-80000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,466,0d4acf1d750f4d10b7101633fddad374,FK-202410161133,23,寿崴路,-505824.67,negative_payment_requires_refund_or_reversal_target
payment_negative,1120,201f506013954ec58e79fd98a7d7985f,FK-202410161247,29,崴和路二标段,-481142.05,negative_payment_requires_refund_or_reversal_target
payment_negative,8912,f9aa6dccacce480287d02fd725c387bd,FK-202410161216,33,崴和路一标段,-640902.46,negative_payment_requires_refund_or_reversal_target
payment_negative,6750,bd7c9b8a145f4c6cba5f67b546ab682b,FKD-20241017-001,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-9000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,283,0853be0b0dd844c4852e471617bf61ab,FKD-20241021-002,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-300000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6450,b4801fcabd4948fc8fc89173afecf023,FKD-20241024-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-250000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1430,29396a5df9f9477fbab53a903c9c32ea,FKD-20241101-002,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-300000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2774,4ec5afe3e6ec4d94a6b62276e0cb5678,FKD-20241106-002,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,-200000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6972,c30da85f3eea4fdb829615cd62158bad,FKD-20241125-002,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-300000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1701,30d2c7748d2e42638207c6036f451215,FKD-20241206-001,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-180404.0,negative_payment_requires_refund_or_reversal_target
payment_negative,3679,6811277470dd4987b9ad5049a474821a,FKD-20241211-005,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-600000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7706,d70326094b2b4806b94153684ae52300,FKD-20241211-004,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-1450000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7894,dc7cb847d78b4d8e97abcb2300c9c9a0,FK-202412191412,2,高新产业园配套项目（包2）,-50000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,3811,6bba0f64e5ec4e07b2ddb9a02f6f69f9,FK-202412241851,4,三星堆环线基础设施改造,-134394.15,negative_payment_requires_refund_or_reversal_target
payment_negative,4362,7befc8bcadc44189a83bc61068f7dab8,FK-202412241851,4,三星堆环线基础设施改造,-1119951.25,negative_payment_requires_refund_or_reversal_target
payment_negative,797,1687e51a726448a6b547c8d5434d11e1,FKD-20241225-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-30000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,406,0b86d15f6c5646259c494ecc0f276de1,FKD-20241227-007,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,-50000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,661,12e97a5bc0da48d6b2a996780aebdf25,FK-202412301056,6,二重厂西路等4条道路工程,-580598.36,negative_payment_requires_refund_or_reversal_target
payment_negative,1620,2e599b4c19e64a98ba8014743467abae,FK-202412271708,4,三星堆环线基础设施改造,-415920.29,negative_payment_requires_refund_or_reversal_target
payment_negative,6644,ba1e7d7444224e2bae43777b18a7a766,FK-202412271708,4,三星堆环线基础设施改造,-49910.43,negative_payment_requires_refund_or_reversal_target
payment_negative,6715,bc7888561d1b4c9db174c77104d37873,FKD-20241227-001,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,-350000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6400,b32c7f1293a64339b9460a0e475a5f37,FKD-20250108-001,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7625,d4c264fea6584e09b8442f6feed03584,FKD-20250114-001,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-2000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,8999,fc50ce7e82054f98916e814a70daa637,FKD-20250121-003,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,-900000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4675,8565f339638147fc8900485ecaba04cb,FKD-20250123-001,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-43000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,803,16b03ba8923e4f41acd716e8d94c6634,FKD-20250123-007,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-3000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1483,2a55babb7c494631bf58e5a44fa95f42,FKD-20250123-002,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-91878.72,negative_payment_requires_refund_or_reversal_target
payment_negative,1559,2c90d0ae1feb4f618040f41a02212897,FKD-20250123-004,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,-100000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5636,9efb7633e718428e9e043915babe4db1,FKD-20250123-011,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6196,ae4b608e5fb74e3e955f3faef87854c9,FKD-20250123-009,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,237,0710d84b32bf49d7ac4d7ab3b1b25c41,FKD-20250124-002,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,-2000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,893,19757619bae04666b81fad589296e644,FK-202501261809,6,二重厂西路等4条道路工程,-23889.49,negative_payment_requires_refund_or_reversal_target
payment_negative,1110,1ff107e14d5d4c7db0909e8ffc807f2a,FKD-20250220-015,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-216332.35,negative_payment_requires_refund_or_reversal_target
payment_negative,1253,2447c6b3bf3f47f6b80bda80a76bc686,FKD-20250126-005,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4085,7403732686ea49189fc3fa51e3db74e4,FK-202501261810,4,三星堆环线基础设施改造,-2241.36,negative_payment_requires_refund_or_reversal_target
payment_negative,7049,c547cdeca5f5479e9fff96189f915f90,FK-202501261810,4,三星堆环线基础设施改造,-18678.01,negative_payment_requires_refund_or_reversal_target
payment_negative,7541,d274b90b3a3c46bda4e8a3598ff624b2,FK-202501261809,6,二重厂西路等4条道路工程,-3000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,1651,2f503c893722475497a41dbfed47139e,FKD-20250127-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,-2000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4749,8774c6d5525c441ebcc02cb2b2fa3ad5,FK-202501271443,2,高新产业园配套项目（包2）,-59758.6,negative_payment_requires_refund_or_reversal_target
payment_negative,6264,afdc871a05354b2e9f576c455cd76259,FK-202501271439,3,高新产业园配套项目（包3）,-200000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7898,dc945fa5d013426a9ec917150ca59424,FKD-20250218-006,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-1000000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,413,0bb6e74347fa4a48a38db465167dd054,FKD-20250220-005,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-44976.0,negative_payment_requires_refund_or_reversal_target
payment_negative,445,0cb2fdc8237d4859b765fb31617528a5,FKD-20250220-013,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,-39884.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2601,4a5b516fdafd4c5cb07c5930200a923a,FKD-20250220-011,45,SCBS未指定项目 - 四川宏政嘉斯建筑工程有限公司,-35085.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2755,4e68bd457bdb41a492fe2a427a8c2758,FKD-20250220-010,45,SCBS未指定项目 - 四川宏政嘉斯建筑工程有限公司,-66000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2828,5055e5e397e347c99df24562b08d364e,FKD-20250220-006,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-39900.0,negative_payment_requires_refund_or_reversal_target
payment_negative,3872,6dc66836a63a4f3d91888c4ba418dba8,FKD-20250220-007,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-4320.0,negative_payment_requires_refund_or_reversal_target
payment_negative,4594,8292ae6b389b44389bc9602f620a6b04,FKD-20250220-004,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-43620.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5835,a4bb06e561a14133af0f2e708ec9a278,FKD-20250220-012,52,SCBS未指定项目 - 四川宏川建筑劳务有限公司,-37195.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7636,d50a8705ac574090badf28784fb54eab,FKD-20250220-009,47,SCBS未指定项目 - 四川迈投建筑工程有限公司,-800000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7747,d86c916fa23046bcb1695d2075749a40,FKD-20250220-003,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-500000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,7827,da65c2bf7c3e429892eff9f94d904e05,FKD-20250225-003,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-285000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,8899,f9413d852386412b86299944b015dbc8,FKD-20250225-004,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-285000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,5420,996452174e32439bafa17f755f763ccf,FKD-20250227-005,43,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,-190000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6608,b9076cddfa7e4e82a6b7ac309735dea9,FKD-20250227-002,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-190000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6957,c2b80a33f49247119908f65728a815e2,FKD-20250227-007,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-500000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,6216,aee6a5c23fb740ea95cade946199de15,FKD-20250303-002,44,SCBS未指定项目 - 德阳市博众建材销售有限公司,-500000.0,negative_payment_requires_refund_or_reversal_target
payment_negative,2421,45a1dc201ba745ce9fff454a0e3093c9,FKD-20250306-002,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,-700000.0,negative_payment_requires_refund_or_reversal_target
