source_sequence,project_name,normalized_project_name,source_operation_mode,operation_strategy,operation_strategy_label,source_file,source_received_date
83,重庆市璧山区璧泉街道老旧小区改造项目（天门社区）,重庆市璧山区璧泉街道老旧小区改造项目(天门社区),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
84,绵竹市星旺大桥与货运通道连接匝道工程项目,绵竹市星旺大桥与货运通道连接匝道工程项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
85,德阳市旌阳区德新镇胜利村2024年省级财政乡村振兴转移支付资金项目(第二次),德阳市旌阳区德新镇胜利村2024年省级财政乡村振兴转移支付资金项目(第二次),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
86,66号楼整修项目,66号楼整修项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
87,生产线及生活区区防水工程,生产线及生活区区防水工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
88,璧山区正兴镇龙家河河堤水毁修复工程,璧山区正兴镇龙家河河堤水毁修复工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
89,涪城区丰谷镇2025年大中型水库移民后期扶持资金项目（中央第一批）,涪城区丰谷镇2025年大中型水库移民后期扶持资金项目(中央第一批),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
90,恒荣半岛小区东舍北苑组团消防地下管网设施设备改造项目,恒荣半岛小区东舍北苑组团消防地下管网设施设备改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
91,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,旌北13#、14#地块(德阳北站TOD及配套基础设施项目室外园林景观工程工程专业分包(大区),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
92,东林智慧学校停车场工程建设项目,东林智慧学校停车场工程建设项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
93,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),重庆文理学院2025年附属工程项目(不可预测的零星维修工程),公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
94,天山北路公共卫生间改造项目,天山北路公共卫生间改造项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
95,龙泉山路与旌湖路交会处东北角土地围挡项目,龙泉山路与旌湖路交会处东北角土地围挡项目,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
96,大足支行珠溪分理处主体装修工程,大足支行珠溪分理处主体装修工程,公司联营,joint,联营项目,副本项目名称统计表直营41条，联营693条(1).xlsx,2026-05-20
