legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
1a27d87129a543c5939e8a5129b75f63,10672,万航模锻有限公司配电系统扩容工程,,正式项目,1,四川保盛建设集团有限公司,10890001,电力工程,1,联营,,,,0,478,06a72f3e5a6f487c831553fd2d9e0a4c,,,,,
1abe1430e27d4765b61cf3ae4b341c24,10806,凯州新城城乡一体化项目配套建设工程钢结构工程专业分包（第二次）,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,611,362d4355d2ae459e8ef906707ea84707,,,,109426,16982984835550000
1aca2027a967401792f1c4b18ef02451,10569,自贡航空产业园航空大道南延线二标段（K1+860-K2+670）施工劳务,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,377,2f03fb9052d34d28bdc6e224a2c274d9,,,,109624,16982985667260001
1aef1f14fbf64e46a61e70d6cef5955f,10745,龙岗001-20井气田水回注安装工程,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,550,b3426eb0257244bb9dd52dccd581bda9,,,,109478,16982984898680001
1b714bfd78a14049b98c6f2b8a63073e,17701085687360000,合阳城街道2024年老旧小区改造工程(二期),,,570,保盛重庆分公司,390001,房建工程,1,联营,,,,1,,0cc1456910395e1c77961e87216d4711,,,,259221,17702768834390001
1b94da17ad1a42c291a59a5ec6d4996b,17465200026890000,2025年西南石油工程公司钻前辅助工程劳务框架招标（5标段：中江、孝泉等地区）项目,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,1,,d702dbae2209257d964e62661936b67f,,,,212782,17468599332200001
1bc8c1acc81d4a47af1318a718bf72db,17017592266040000,东河农贸市场场内厕所改造,,,1,四川保盛建设集团有限公司,400001,市政工程,1,联营,,,,0,,6fcc35febd3e64f263218ba0309e1e2a,,,,115128,17018337586380000
1ce3b31d6d8544479618158ea59ed160,10350,中国移动四川分公司成都片区2018-2020年渠道零星维修项目（标包1）,,正式项目,141,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,0,184,c8c4da1ee1e14411a2a09c79b198f2c3,,,,109769,16982986157570001
1ceeb10c5d5745879b20d438e2e69534,10516,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资 EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程（园路JLC）分包合同,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,325,34e352b99c1643569ed8534d19afc569,,,,109670,16982985728200000
1d23f106099449a0a88894c9f5458efa,10837,德阳市什邡市社会福利救助中心护理能力提档升级项目,,正式项目,1,四川保盛建设集团有限公司,400001,市政工程,0,联营,,,,0,642,4dc1dddff1f445f08f4f37d19fbb3cbf,,,,109402,16982984803050001
