payment_request_id,external_id,name,old_state,old_validation_status,amount,old_ledger_count,old_ledger_sum,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids
5441,legacy_outflow_sc_01c1776aa5594838bfe1506c03495a1a,PRQ2605441,done,validated,702.30,1,702.30,1,702.30,legacy_actual_outflow_sc_832ce6eda550496abbc357a1f21bb22a
5442,legacy_outflow_sc_01c9dea29af74ff49e6ef934226a41c8,PRQ2605442,done,validated,32335.60,1,32335.60,1,32335.60,legacy_actual_outflow_sc_84a2f6d76cb64e70aa8fbf74ca676d02
5443,legacy_outflow_sc_01d1ee0138fb41c6a04ff63bc5dc8f12,PRQ2605443,done,validated,150000.00,1,150000.00,1,150000.00,legacy_actual_outflow_sc_ed65c219bb384705ac199deae81dae2a
5444,legacy_outflow_sc_01d467ccd0b841fc94b7a27a2a05de2e,PRQ2605444,done,validated,1040000.00,1,1040000.00,1,1040000.00,legacy_actual_outflow_sc_8e69ff4f500b4244ba23b4811475dc9e
5445,legacy_outflow_sc_01dca46926d0439b831aa5d0c47256fa,PRQ2605445,done,validated,99600.00,1,99600.00,1,99600.00,legacy_actual_outflow_sc_22036c64eb674baba1577a2c94e3ef95
5446,legacy_outflow_sc_01dd43ca0f7047a5a0b4537b5791e33a,PRQ2605446,done,validated,8076.74,1,8076.74,1,8076.74,legacy_actual_outflow_sc_f4fe3f91238e439998339b24711468cc
5447,legacy_outflow_sc_01e3a998debd4718a629a5c1df5333de,PRQ2605447,done,validated,40000.00,1,40000.00,1,40000.00,legacy_actual_outflow_sc_5742df8ce6764bd6be135d0ce3d42666
5448,legacy_outflow_sc_01edb7fc07314eb4a14e5d730db2677f,PRQ2605448,done,validated,600000.00,1,600000.00,1,600000.00,legacy_actual_outflow_sc_ffca4c6d52444ba8b3cfa893a291672a
5449,legacy_outflow_sc_01edcc2ae9494ab9b632deb70473d101,PRQ2605449,done,validated,7650.00,1,7650.00,1,7650.00,legacy_actual_outflow_sc_761fc154b9324e859f2e92fa88c92d76
5450,legacy_outflow_sc_01fbea6ed1bf4b2e9fba2d3188720ce8,PRQ2605450,done,validated,5840.00,1,5840.00,1,5840.00,legacy_actual_outflow_sc_22366d8234a047e295e7af74e4317245
5451,legacy_outflow_sc_01fcf727e09b4490a7b9be8a0898605d,PRQ2605451,done,validated,90000.00,1,90000.00,1,90000.00,legacy_actual_outflow_sc_dcd229db9f5046a1938f37b3b833509f
5452,legacy_outflow_sc_01ffc072414341f58d54ff76f1eb0b57,PRQ2605452,done,validated,700000.00,1,700000.00,1,700000.00,legacy_actual_outflow_sc_57e59e675f1741beb13b09d825b34870
5453,legacy_outflow_sc_0201d68f0cfa47d780be0f6b5247fc93,PRQ2605453,done,validated,13670.00,1,13670.00,1,13670.00,legacy_actual_outflow_sc_4ec2d069f54c4041b30204dd53fd69ef
5454,legacy_outflow_sc_020238a3a1264bc69c49765d122ef950,PRQ2605454,done,validated,41626.00,1,41626.00,1,41626.00,legacy_actual_outflow_sc_3e793203ee804e0f9b45e897a9aa4b18
5455,legacy_outflow_sc_02041064007a4fa2bbf4bb2ddd2278fb,PRQ2605455,done,validated,50040.00,1,50040.00,1,50040.00,legacy_actual_outflow_sc_19d6444fd21143e8b9763fcdd8499767
5456,legacy_outflow_sc_020982a0ed5947bc9350584d70e73b7b,PRQ2605456,done,validated,367859.00,1,367859.00,1,367859.00,legacy_actual_outflow_sc_f1e867068fcc4439af45115288a23306
5457,legacy_outflow_sc_020c1fe41e6446b985cd2094404a6a0c,PRQ2605457,done,validated,199800.00,1,199800.00,1,199800.00,legacy_actual_outflow_sc_d65e5d6069894d20891a193b335ccb8a
5458,legacy_outflow_sc_0219859f7f5747f395abb1447c2645b5,PRQ2605458,done,validated,50000.00,1,50000.00,1,50000.00,legacy_actual_outflow_sc_ac6da5c8b6254676b4f469124d0f5ae3
5459,legacy_outflow_sc_021d8c060f60400cbd7049a0394d4bb9,PRQ2605459,done,validated,31010.00,1,31010.00,1,31010.00,legacy_actual_outflow_sc_938967eb1ff14fefaa8dca3568a550fd
