external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_contract_line_summary_sc_062e24ff0f0e4401a108ef7c2923b1a0,062e24ff0f0e4401a108ef7c2923b1a0,10,1.0,12141034.0000,summary line from legacy contract header amount; legacy_contract_id=062e24ff0f0e4401a108ef7c2923b1a0; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_062e24ff0f0e4401a108ef7c2923b1a0,create_if_missing
legacy_contract_line_summary_sc_0632499e1d6548d28e052d8372d76a0c,0632499e1d6548d28e052d8372d76a0c,10,1.0,304896.9700,summary line from legacy contract header amount; legacy_contract_id=0632499e1d6548d28e052d8372d76a0c; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0632499e1d6548d28e052d8372d76a0c,create_if_missing
legacy_contract_line_summary_sc_0676125766004364bef1cbd0c10a9297,0676125766004364bef1cbd0c10a9297,10,1.0,75000.0000,summary line from legacy contract header amount; legacy_contract_id=0676125766004364bef1cbd0c10a9297; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0676125766004364bef1cbd0c10a9297,create_if_missing
legacy_contract_line_summary_sc_06787052aaff465a955be58b0f35a922,06787052aaff465a955be58b0f35a922,10,1.0,54282.0000,summary line from legacy contract header amount; legacy_contract_id=06787052aaff465a955be58b0f35a922; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_06787052aaff465a955be58b0f35a922,create_if_missing
legacy_contract_line_summary_sc_067d7dfbdbe14ef9bef1a3b9bed3f874,067d7dfbdbe14ef9bef1a3b9bed3f874,10,1.0,1522.0000,summary line from legacy contract header amount; legacy_contract_id=067d7dfbdbe14ef9bef1a3b9bed3f874; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_067d7dfbdbe14ef9bef1a3b9bed3f874,create_if_missing
legacy_contract_line_summary_sc_0691a60983954f689ca8134d98f7caf3,0691a60983954f689ca8134d98f7caf3,10,1.0,6387500.0000,summary line from legacy contract header amount; legacy_contract_id=0691a60983954f689ca8134d98f7caf3; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0691a60983954f689ca8134d98f7caf3,create_if_missing
legacy_contract_line_summary_sc_06b9f6d1c75b469297a8a9f3d95777ef,06b9f6d1c75b469297a8a9f3d95777ef,10,1.0,871014.4400,summary line from legacy contract header amount; legacy_contract_id=06b9f6d1c75b469297a8a9f3d95777ef; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_06b9f6d1c75b469297a8a9f3d95777ef,create_if_missing
legacy_contract_line_summary_sc_06bd722ec5734e29af0595fcde193045,06bd722ec5734e29af0595fcde193045,10,1.0,3204577.9500,summary line from legacy contract header amount; legacy_contract_id=06bd722ec5734e29af0595fcde193045; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_06bd722ec5734e29af0595fcde193045,create_if_missing
legacy_contract_line_summary_sc_06ec94bb728f4997918eeb6225669d33,06ec94bb728f4997918eeb6225669d33,10,1.0,825367.0000,summary line from legacy contract header amount; legacy_contract_id=06ec94bb728f4997918eeb6225669d33; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_06ec94bb728f4997918eeb6225669d33,create_if_missing
legacy_contract_line_summary_sc_06f516a6ac5f4d8191fc44b4063dabb6,06f516a6ac5f4d8191fc44b4063dabb6,10,1.0,490047.0000,summary line from legacy contract header amount; legacy_contract_id=06f516a6ac5f4d8191fc44b4063dabb6; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_06f516a6ac5f4d8191fc44b4063dabb6,create_if_missing
legacy_contract_line_summary_sc_06f533ea2a754dcca7ccab23eef86b32,06f533ea2a754dcca7ccab23eef86b32,10,1.0,2240000.0000,summary line from legacy contract header amount; legacy_contract_id=06f533ea2a754dcca7ccab23eef86b32; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_06f533ea2a754dcca7ccab23eef86b32,create_if_missing
legacy_contract_line_summary_sc_074ced9cda844c49994807ad95d99ab4,074ced9cda844c49994807ad95d99ab4,10,1.0,8647.0000,summary line from legacy contract header amount; legacy_contract_id=074ced9cda844c49994807ad95d99ab4; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_074ced9cda844c49994807ad95d99ab4,create_if_missing
legacy_contract_line_summary_sc_076d7cff9dc04ff19a7afc4d4babe1e2,076d7cff9dc04ff19a7afc4d4babe1e2,10,1.0,305200.6100,summary line from legacy contract header amount; legacy_contract_id=076d7cff9dc04ff19a7afc4d4babe1e2; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_076d7cff9dc04ff19a7afc4d4babe1e2,create_if_missing
legacy_contract_line_summary_sc_07d892ba9d5846878f4bc508e5fb3d05,07d892ba9d5846878f4bc508e5fb3d05,10,1.0,819.0000,summary line from legacy contract header amount; legacy_contract_id=07d892ba9d5846878f4bc508e5fb3d05; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_07d892ba9d5846878f4bc508e5fb3d05,create_if_missing
legacy_contract_line_summary_sc_07dcc5364957497fa570b929f30410e8,07dcc5364957497fa570b929f30410e8,10,1.0,92650.0000,summary line from legacy contract header amount; legacy_contract_id=07dcc5364957497fa570b929f30410e8; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_07dcc5364957497fa570b929f30410e8,create_if_missing
legacy_contract_line_summary_sc_07ed6ad0bc0b4262ba6953e4d5f8463f,07ed6ad0bc0b4262ba6953e4d5f8463f,10,1.0,14170.0000,summary line from legacy contract header amount; legacy_contract_id=07ed6ad0bc0b4262ba6953e4d5f8463f; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_07ed6ad0bc0b4262ba6953e4d5f8463f,create_if_missing
legacy_contract_line_summary_sc_086c56ca06274d91ba9be8704dd13bd1,086c56ca06274d91ba9be8704dd13bd1,10,1.0,737924.0000,summary line from legacy contract header amount; legacy_contract_id=086c56ca06274d91ba9be8704dd13bd1; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_086c56ca06274d91ba9be8704dd13bd1,create_if_missing
legacy_contract_line_summary_sc_08729530ea204a6b89afaf285976b028,08729530ea204a6b89afaf285976b028,10,1.0,408540.9200,summary line from legacy contract header amount; legacy_contract_id=08729530ea204a6b89afaf285976b028; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_08729530ea204a6b89afaf285976b028,create_if_missing
legacy_contract_line_summary_sc_087d5daff0ec4bdcadc8a4d23d811f96,087d5daff0ec4bdcadc8a4d23d811f96,10,1.0,327000.0000,summary line from legacy contract header amount; legacy_contract_id=087d5daff0ec4bdcadc8a4d23d811f96; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_087d5daff0ec4bdcadc8a4d23d811f96,create_if_missing
legacy_contract_line_summary_sc_089a6a2f628a4823bc016d31166f0a7a,089a6a2f628a4823bc016d31166f0a7a,10,1.0,3801725.7400,summary line from legacy contract header amount; legacy_contract_id=089a6a2f628a4823bc016d31166f0a7a; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_089a6a2f628a4823bc016d31166f0a7a,create_if_missing
legacy_contract_line_summary_sc_08bd09218e70431fb3fdfb59352a913b,08bd09218e70431fb3fdfb59352a913b,10,1.0,927500.0000,summary line from legacy contract header amount; legacy_contract_id=08bd09218e70431fb3fdfb59352a913b; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_08bd09218e70431fb3fdfb59352a913b,create_if_missing
legacy_contract_line_summary_sc_09442126898c460883e83c71c276f5bc,09442126898c460883e83c71c276f5bc,10,1.0,18520.0000,summary line from legacy contract header amount; legacy_contract_id=09442126898c460883e83c71c276f5bc; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_09442126898c460883e83c71c276f5bc,create_if_missing
legacy_contract_line_summary_sc_09914aff70af41beb73d25c6098d14aa,09914aff70af41beb73d25c6098d14aa,10,1.0,8736217.1500,summary line from legacy contract header amount; legacy_contract_id=09914aff70af41beb73d25c6098d14aa; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_09914aff70af41beb73d25c6098d14aa,create_if_missing
