external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_supplier_contract_line_sc_0148d5c25fdc477fa848956f34eb1c27,0148d5c25fdc477fa848956f34eb1c27,10,1,67333.1600,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=0148d5c25fdc477fa848956f34eb1c27; amount_source=ZJE; source_amount=67333.1600; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_0148d5c25fdc477fa848956f34eb1c27,create_if_missing
legacy_supplier_contract_line_sc_01547fdfe602432cb785fae5b1d93fcf,01547fdfe602432cb785fae5b1d93fcf,10,1,108936.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01547fdfe602432cb785fae5b1d93fcf; amount_source=ZJE; source_amount=108936.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01547fdfe602432cb785fae5b1d93fcf,create_if_missing
legacy_supplier_contract_line_sc_015f409abc964e55affec6c72456a971,015f409abc964e55affec6c72456a971,10,1,121000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=015f409abc964e55affec6c72456a971; amount_source=ZJE; source_amount=121000.0000; legacy_qty=0.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_015f409abc964e55affec6c72456a971,create_if_missing
legacy_supplier_contract_line_sc_016470cccc7c4f4abd0f28f8ceffa94a,016470cccc7c4f4abd0f28f8ceffa94a,10,1,96681.6500,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=016470cccc7c4f4abd0f28f8ceffa94a; amount_source=ZJE; source_amount=96681.6500; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_016470cccc7c4f4abd0f28f8ceffa94a,create_if_missing
legacy_supplier_contract_line_sc_01653e9254944357844e0e3789d2d319,01653e9254944357844e0e3789d2d319,10,1,200000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01653e9254944357844e0e3789d2d319; amount_source=ZJE; source_amount=200000.0000; legacy_qty=0.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01653e9254944357844e0e3789d2d319,create_if_missing
legacy_supplier_contract_line_sc_017e0defb7fa4049bd8566a0142d8e36,017e0defb7fa4049bd8566a0142d8e36,10,1,109586.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=017e0defb7fa4049bd8566a0142d8e36; amount_source=ZJE; source_amount=109586.0000; legacy_qty=1095.8600; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_017e0defb7fa4049bd8566a0142d8e36,create_if_missing
legacy_supplier_contract_line_sc_017f6a626bd3431d9e28137f79783b85,017f6a626bd3431d9e28137f79783b85,10,1,23650.4000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=017f6a626bd3431d9e28137f79783b85; amount_source=ZJE; source_amount=23650.4000; legacy_qty=159.8000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_017f6a626bd3431d9e28137f79783b85,create_if_missing
legacy_supplier_contract_line_sc_018eb33ac54a48179753af1c11157abf,018eb33ac54a48179753af1c11157abf,10,1,279000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=018eb33ac54a48179753af1c11157abf; amount_source=ZJE; source_amount=279000.0000; legacy_qty=0.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_018eb33ac54a48179753af1c11157abf,create_if_missing
legacy_supplier_contract_line_sc_019dbd016f7d43668756860b306f59b5,019dbd016f7d43668756860b306f59b5,10,1,2462.4000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=019dbd016f7d43668756860b306f59b5; amount_source=ZJE; source_amount=2462.4000; legacy_qty=38.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_019dbd016f7d43668756860b306f59b5,create_if_missing
legacy_supplier_contract_line_sc_01a8398af99346868966fd023a08e357,01a8398af99346868966fd023a08e357,10,1,2300000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01a8398af99346868966fd023a08e357; amount_source=ZJE; source_amount=2300000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01a8398af99346868966fd023a08e357,create_if_missing
legacy_supplier_contract_line_sc_01aa6c8eaf164fd6b7f061261eab1c63,01aa6c8eaf164fd6b7f061261eab1c63,10,1,15552.8800,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01aa6c8eaf164fd6b7f061261eab1c63; amount_source=ZJE; source_amount=15552.8800; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01aa6c8eaf164fd6b7f061261eab1c63,create_if_missing
legacy_supplier_contract_line_sc_01adc57c7ba0491fad9087a4b9507d67,01adc57c7ba0491fad9087a4b9507d67,10,1,295000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01adc57c7ba0491fad9087a4b9507d67; amount_source=ZJE; source_amount=295000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01adc57c7ba0491fad9087a4b9507d67,create_if_missing
legacy_supplier_contract_line_sc_01c3fefdded1480f87a2e76200e6b098,01c3fefdded1480f87a2e76200e6b098,10,1,662131.1000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01c3fefdded1480f87a2e76200e6b098; amount_source=ZJE; source_amount=662131.1000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01c3fefdded1480f87a2e76200e6b098,create_if_missing
legacy_supplier_contract_line_sc_01c659171d8e4f1eaab5a33092bc572d,01c659171d8e4f1eaab5a33092bc572d,10,1,314850.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01c659171d8e4f1eaab5a33092bc572d; amount_source=ZJE; source_amount=314850.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01c659171d8e4f1eaab5a33092bc572d,create_if_missing
legacy_supplier_contract_line_sc_01e7abb43212489494b052e12f811385,01e7abb43212489494b052e12f811385,10,1,599995.5500,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01e7abb43212489494b052e12f811385; amount_source=ZJE; source_amount=599995.5500; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01e7abb43212489494b052e12f811385,create_if_missing
legacy_supplier_contract_line_sc_01ea24e1774a4ea88243a42a1f34ce4e,01ea24e1774a4ea88243a42a1f34ce4e,10,1,19200.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01ea24e1774a4ea88243a42a1f34ce4e; amount_source=ZJE; source_amount=19200.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01ea24e1774a4ea88243a42a1f34ce4e,create_if_missing
legacy_supplier_contract_line_sc_01ee20e4c398467fbdd18700cbad0c4b,01ee20e4c398467fbdd18700cbad0c4b,10,1,77603.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01ee20e4c398467fbdd18700cbad0c4b; amount_source=ZJE; source_amount=77603.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01ee20e4c398467fbdd18700cbad0c4b,create_if_missing
legacy_supplier_contract_line_sc_01f5c900e2e0499d8cebbfb8184ed92f,01f5c900e2e0499d8cebbfb8184ed92f,10,1,224000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01f5c900e2e0499d8cebbfb8184ed92f; amount_source=ZJE; source_amount=224000.0000; legacy_qty=0.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01f5c900e2e0499d8cebbfb8184ed92f,create_if_missing
legacy_supplier_contract_line_sc_01fa403556f94c8bbfab7fc807896825,01fa403556f94c8bbfab7fc807896825,10,1,123060.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=01fa403556f94c8bbfab7fc807896825; amount_source=ZJE; source_amount=123060.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_01fa403556f94c8bbfab7fc807896825,create_if_missing
legacy_supplier_contract_line_sc_025891a7bea24d578999ab6f78a01512,025891a7bea24d578999ab6f78a01512,10,1,61178.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=025891a7bea24d578999ab6f78a01512; amount_source=ZJE; source_amount=61178.0000; legacy_qty=9.4100; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_025891a7bea24d578999ab6f78a01512,create_if_missing
legacy_supplier_contract_line_sc_025d558af11b448285a69b91e2017b12,025d558af11b448285a69b91e2017b12,10,1,700000.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=025d558af11b448285a69b91e2017b12; amount_source=ZJE; source_amount=700000.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_025d558af11b448285a69b91e2017b12,create_if_missing
legacy_supplier_contract_line_sc_025ecfb37f764c038fe4ec981959d54c,025ecfb37f764c038fe4ec981959d54c,10,1,146160.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=025ecfb37f764c038fe4ec981959d54c; amount_source=ZJE; source_amount=146160.0000; legacy_qty=1.0000; legacy_price=; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_025ecfb37f764c038fe4ec981959d54c,create_if_missing
legacy_supplier_contract_line_sc_0265f75d0c334e1e853d953cc79c5c4f,0265f75d0c334e1e853d953cc79c5c4f,10,1,26390.0000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=0265f75d0c334e1e853d953cc79c5c4f; amount_source=ZJE; source_amount=26390.0000; legacy_qty=58.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_0265f75d0c334e1e853d953cc79c5c4f,create_if_missing
legacy_supplier_contract_line_sc_026df4dc6b8949249d33e0a8d0c46651,026df4dc6b8949249d33e0a8d0c46651,10,1,107481.5000,[migration:supplier_contract_summary_line] legacy_supplier_contract_id=026df4dc6b8949249d33e0a8d0c46651; amount_source=ZJE; source_amount=107481.5000; legacy_qty=2009.0000; legacy_price=0.0000; summary_amount_line=true; qty_contract_one=true; price_contract_source_amount=true; header_amount_not_written=true,legacy_supplier_contract_line_sc_026df4dc6b8949249d33e0a8d0c46651,create_if_missing
