external_id,legacy_partner_source,legacy_partner_id,name,company_type,is_company,legacy_partner_name,legacy_source_evidence,idempotency_key,replay_action
legacy_contract_counterparty_sc_336c1acaddb51d21,contract_counterparty,contract_counterparty:336c1acaddb51d21,中铁十九局集团有限公司,company,1,中铁十九局集团有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:336c1acaddb51d21,create_if_missing
legacy_contract_counterparty_sc_a2fa6ea9e973f58f,contract_counterparty,contract_counterparty:a2fa6ea9e973f58f,中铁十八局集团有限公司,company,1,中铁十八局集团有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:a2fa6ea9e973f58f,create_if_missing
legacy_contract_counterparty_sc_a59fd3187a4cd8f1,contract_counterparty,contract_counterparty:a59fd3187a4cd8f1,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,company,1,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:a59fd3187a4cd8f1,create_if_missing
legacy_contract_counterparty_sc_852308063e82c68f,contract_counterparty,contract_counterparty:852308063e82c68f,二重德阳储能科技有限公司,company,1,二重德阳储能科技有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:852308063e82c68f,create_if_missing
legacy_contract_counterparty_sc_1d12391f59e8dac8,contract_counterparty,contract_counterparty:1d12391f59e8dac8,二重（德阳）重型装备有限公司,company,1,二重（德阳）重型装备有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:1d12391f59e8dac8,create_if_missing
legacy_contract_counterparty_sc_a118974acf07c396,contract_counterparty,contract_counterparty:a118974acf07c396,伟宸建设集团有限公司,company,1,伟宸建设集团有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:a118974acf07c396,create_if_missing
legacy_contract_counterparty_sc_c79a4e9756d34ded,contract_counterparty,contract_counterparty:c79a4e9756d34ded,保利长大工程有限公司,company,1,保利长大工程有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:c79a4e9756d34ded,create_if_missing
legacy_contract_counterparty_sc_ebafa0d3a9b41485,contract_counterparty,contract_counterparty:ebafa0d3a9b41485,六盘水金地嘉仁物业服务有限公司荣昌分公司,company,1,六盘水金地嘉仁物业服务有限公司荣昌分公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:ebafa0d3a9b41485,create_if_missing
legacy_contract_counterparty_sc_78fd0cafe048c22e,contract_counterparty,contract_counterparty:78fd0cafe048c22e,四川天顺科技服务有限公司,company,1,四川天顺科技服务有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:78fd0cafe048c22e,create_if_missing
legacy_contract_counterparty_sc_707cb840567d9f85,contract_counterparty,contract_counterparty:707cb840567d9f85,四川定弘邦路桥工程有限公司,company,1,四川定弘邦路桥工程有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:707cb840567d9f85,create_if_missing
legacy_contract_counterparty_sc_eb7166843dfe9232,contract_counterparty,contract_counterparty:eb7166843dfe9232,四川山水美地农业投资有限公司,company,1,四川山水美地农业投资有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:eb7166843dfe9232,create_if_missing
legacy_contract_counterparty_sc_61ee719c30cbca41,contract_counterparty,contract_counterparty:61ee719c30cbca41,四川建筑职业技术学院,company,1,四川建筑职业技术学院,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:61ee719c30cbca41,create_if_missing
legacy_contract_counterparty_sc_cf44693f3e2939a2,contract_counterparty,contract_counterparty:cf44693f3e2939a2,四川建设发展股份有限公司,company,1,四川建设发展股份有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:cf44693f3e2939a2,create_if_missing
legacy_contract_counterparty_sc_647e3b39ac9e3ae1,contract_counterparty,contract_counterparty:647e3b39ac9e3ae1,四川昌意兴建筑劳务有限公司,company,1,四川昌意兴建筑劳务有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:647e3b39ac9e3ae1,create_if_missing
legacy_contract_counterparty_sc_3aef2ad376c624bb,contract_counterparty,contract_counterparty:3aef2ad376c624bb,四川汉南供水有限公司,company,1,四川汉南供水有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:3aef2ad376c624bb,create_if_missing
legacy_contract_counterparty_sc_bf899a53605bde6a,contract_counterparty,contract_counterparty:bf899a53605bde6a,四川省东方兴发建设集团有限公司,company,1,四川省东方兴发建设集团有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:bf899a53605bde6a,create_if_missing
legacy_contract_counterparty_sc_fd29cb64f77b1b50,contract_counterparty,contract_counterparty:fd29cb64f77b1b50,四川省第四建筑有限公司,company,1,四川省第四建筑有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:fd29cb64f77b1b50,create_if_missing
legacy_contract_counterparty_sc_2187ea5bbee434b0,contract_counterparty,contract_counterparty:2187ea5bbee434b0,四川省绵阳外国语学校,company,1,四川省绵阳外国语学校,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:2187ea5bbee434b0,create_if_missing
legacy_contract_counterparty_sc_02bc41b960717458,contract_counterparty,contract_counterparty:02bc41b960717458,四川纹江致远建筑开发工程有限公司,company,1,四川纹江致远建筑开发工程有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:02bc41b960717458,create_if_missing
legacy_contract_counterparty_sc_d41610756a7cb04d,contract_counterparty,contract_counterparty:d41610756a7cb04d,四川自贡汇东发展股份有限公司,company,1,四川自贡汇东发展股份有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:d41610756a7cb04d,create_if_missing
legacy_contract_counterparty_sc_36c135b029d434d6,contract_counterparty,contract_counterparty:36c135b029d434d6,国网新疆电力有限公司喀什供电公司,company,1,国网新疆电力有限公司喀什供电公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:36c135b029d434d6,create_if_missing
legacy_contract_counterparty_sc_af2a6c0f51042e4b,contract_counterparty,contract_counterparty:af2a6c0f51042e4b,国营川西机器厂,company,1,国营川西机器厂,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:af2a6c0f51042e4b,create_if_missing
legacy_contract_counterparty_sc_d9004052aec6c53f,contract_counterparty,contract_counterparty:d9004052aec6c53f,垫江县小厦建筑有限公司,company,1,垫江县小厦建筑有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:d9004052aec6c53f,create_if_missing
