legacy_member_id,legacy_project_id,legacy_user_ref,project_ref,user_ref,role_fact_status,import_batch,evidence,notes,active,replay_action
b985ab370caf4da9a102daa8610cb215,ff88aca287f94ee09bcc0a53649e5c0f,10000051,legacy_project_sc_ff88aca287f94ee09bcc0a53649e5c0f,legacy_user_sc_10000051,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b985ab370caf4da9a102daa8610cb215,neutral staging only; role fact missing,1,create_if_missing
b98860d47e34444d95af1191f78d7dcc,412983e6b51f4ee294e20096b18c608d,10000038,legacy_project_sc_412983e6b51f4ee294e20096b18c608d,legacy_user_sc_10000038,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b98860d47e34444d95af1191f78d7dcc,neutral staging only; role fact missing,1,create_if_missing
b99569b1899d40e39f90576ddc757d43,44169b333e24436aa3592d06b9d2a0c3,8888888,legacy_project_sc_44169b333e24436aa3592d06b9d2a0c3,legacy_user_sc_8888888,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b99569b1899d40e39f90576ddc757d43,neutral staging only; role fact missing,1,create_if_missing
b998a927_1826_4dc8_bcdc_dd94fcd3e04f,74d58dce00e345c3af7cbdc58dc2bbbc,10000076,legacy_project_sc_74d58dce00e345c3af7cbdc58dc2bbbc,legacy_user_sc_10000076,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B998A927-1826-4DC8-BCDC-DD94FCD3E04F,neutral staging only; role fact missing,1,create_if_missing
b9a849f2c181487f8af0756f3d8368e4,a31f60322d4549d08c02b28c71911eaf,10000047,legacy_project_sc_a31f60322d4549d08c02b28c71911eaf,legacy_user_sc_10000047,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9a849f2c181487f8af0756f3d8368e4,neutral staging only; role fact missing,1,create_if_missing
b9a966093a254ec0808f659eeec2a2ce,fb0c4133-f011-44a4-a285-59cfd30aec27,10000033,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,legacy_user_sc_10000033,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9a966093a254ec0808f659eeec2a2ce,neutral staging only; role fact missing,1,create_if_missing
b9b3ea2c_ecfc_4a72_87d6_6ab6990a664e,15bc8bfa1f964a609140a3c52c72efaa,10000052,legacy_project_sc_15bc8bfa1f964a609140a3c52c72efaa,legacy_user_sc_10000052,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B9B3EA2C-ECFC-4A72-87D6-6AB6990A664E,neutral staging only; role fact missing,1,create_if_missing
b9b482ce564f43b493a44798372e6051,ea0e76e15df1488590e9ed4a1e25fee1,8888888,legacy_project_sc_ea0e76e15df1488590e9ed4a1e25fee1,legacy_user_sc_8888888,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9b482ce564f43b493a44798372e6051,neutral staging only; role fact missing,1,create_if_missing
b9b6d4f5_b6fb_4708_87ef_172d8a6d4f24,c0fec62dffee4c0cbcf8eaab7e4a5477,10000076,legacy_project_sc_c0fec62dffee4c0cbcf8eaab7e4a5477,legacy_user_sc_10000076,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B9B6D4F5-B6FB-4708-87EF-172D8A6D4F24,neutral staging only; role fact missing,1,create_if_missing
b9c1461132794f59b216635158ad8649,bde18269fcd04d00910a9b456d0a4813,10000003,legacy_project_sc_bde18269fcd04d00910a9b456d0a4813,legacy_user_sc_10000003,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9c1461132794f59b216635158ad8649,neutral staging only; role fact missing,1,create_if_missing
b9c508cd862149a5ae56b06e897821a9,412983e6b51f4ee294e20096b18c608d,10000034,legacy_project_sc_412983e6b51f4ee294e20096b18c608d,legacy_user_sc_10000034,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9c508cd862149a5ae56b06e897821a9,neutral staging only; role fact missing,1,create_if_missing
