legacy_contract_id,legacy_project_id,subject,coverage_route,blockers,policy_route,policy_note
36ae4d26b8494b2592ea400fa201beec,71b02926f98b416c8d27220566c4195c,绵阳市安州区公办学校空调电力改造安装工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
36d71adcfeab413d8f55ab89de507a3c,89e4f0b434dd40be8c6b7e452d8123c3,WBHTGL-20201026-006,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
378f71ad8f75426dae04f15c7fdf03ca,fb0c4133-f011-44a4-a285-59cfd30aec27,WBHTGL-20231211-001,discard_deleted_source,deleted_flag|direction_defer|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
37e66627d64443668338d6cf931e035b,fb0c4133-f011-44a4-a285-59cfd30aec27,111,discard_deleted_source,deleted_flag|direction_defer|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
38309aa9ffbc44af97d524391333980b,ec8e6e03ff4c40cfb4ce25cdddc7474e,双拥小区棚户区改造安置房庭院管道维修工程,discard_deleted_source,deleted_flag,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
3836f50c190c4c438eabaacbdb60b80b,f83ec03b24d24fec8c8fb9cfadb304f7,重庆市沙坪坝区土主街道桐子林黄金湾C1栋 二层,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
38415259b4b24550bdbb0b593ea6f3f4,89e4f0b434dd40be8c6b7e452d8123c3,铜梁区永嘉镇2020年断头路、联网路建设圣水村八组、塘坪村十一组、十七组公路工程,project_anchor_blocked,project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
3867a681085d485aad61c75e57365a6d,7fa974d0bc674fb48bd98beaad6825ab,施工合同,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
38de7bb2562640f2b55e18567d606ecf,ab4b61f019744a5bae5f5ee00538f82b,补录数据,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3a183e73f5544c8781dfac78a1fafc93,d673283d7f064228aa3bcdb822c8d425,【白云机场三期扩建工程周边临空经济产业园区基础设施二期工程（平西二期安置区）施工总承包（标段一）】项目【室外】工程,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3a9829cd2d2f481f843259b28aa9cdbd,0182e913f9df48f0b39db2b059e3ee9b,德昌供港果蔬产业融合项目,project_anchor_blocked,project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
3b046a8c299d441ca59b48dc90faa6be,d673283d7f064228aa3bcdb822c8d425,KHQY23001 清远长颈酒店项目总承包工程办公区园林绿化工 程,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3b4f9c37e10e46e08f91e703c81c88b1,fb0c4133-f011-44a4-a285-59cfd30aec27,久安·新坐标新建户表工程,discard_deleted_source,deleted_flag,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
3b9d03d1f0cc47de8b81daf1f1746e7d,3ddb4ef7f09a4280b7ef904a6f6e5275,八角卫生院-口腔科装修改造工程,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3c0659411d374bfcb2313cef17bb6a52,52278e622558409db167eca9eba8c8b8,广州市花都区殡仪馆园建、绿化、道路及护坡工程专业分包,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3d3e5b7d82eb4f78b1bc5691925a7684,ca9cc3a115d44c1faf31b0ae8d8c16dc,垫江县城区污水处理厂提标改造项目（中水管网建设工程A段）--玉鼎桥至明月大道段,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3e59e8b332b74eacb1d679cbd8f0d0f9,d5e059c23e3d4a2c802cbecb7911cd38,绵竹市齐协路、桑土路道路维修养护工程,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
3f8155e0800f4a189d103be3928f4e18,5d3979512ead4bd8a20d8053164a516a,补录老项目合同,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4006b0cceb1e4fbfb6fa2bf2562a584b,57403a8c67e64bd3a163ff4b5feee0ea,WBHTGL-20200227-002,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
4072c73b39744718a8786199e3d53cf8,784c455d3cfe45cf9b7dfdf3d752e81a,合同变更协议,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
411fe93d7ab64e60a69215b1a38d19bc,a1d5df160ba1409dbb581cc5c68a9cfc,营盘乡高峰村、都家坝、丁家碥村农村安全饮水,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
41573851ff784d8284bab80ccc22693f,ea7b223b560a4d998f5fc6f14cb2bd3c,补录老项目合同,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
419650edd1c54b1c96fe7f868b58d673,d5e059c23e3d4a2c802cbecb7911cd38,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
424361fe38ef4de2ae7c74a10e91801b,0b3b88a05d6d454b9cbbe6b4c3c342d5,岳普湖县防沙治沙电力配套设施建设项目,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4512209014a642b78248b2bde9d5d60c,1da16136281c46fc9fb1d3038e68f983,石船镇农村公路（关兴村）井环路堡坎修复工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
45974f24bf4b486d9b37584087e3106f,85866c001d2e4b029b09516966968acc,中江县2016年抗旱应急水源工程,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
45fc1bdb17ee49139c5c59df8974cb4d,9f0ba65501144ebc97ad9ca1812c6f5d,旌阳区涪江苑小区等2个城镇老旧小区改造及配套基础设施改造项目（孝感街道二期）、旌阳区金石苑东西区等8个城镇老旧小区改造及配套基础设施改造项目（东湖街道二期）打捆项目-安装工程专业分包,discard_deleted_source,deleted_flag,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
4611741df09d4abba52477b0060effa2,466147b763814ec5811faa81275d1081,教工幼儿园维修工程项目,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
46dd665c95d3460b84d09083cac81906,d5e059c23e3d4a2c802cbecb7911cd38,G545绵竹市汉旺镇牛鼻村至群力社区段大修工程和G545绵竹市板桥镇康宁村至孝德镇石河村段中修工程,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
47448237d2024d8c996e9fd1b2d99a23,a1df3e6b2cbe4363b1f33cb30b679822,竣工结算审核报告书,partner_anchor_blocked,direction_defer|partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
48b560c897b54d80939b9b0263b01e53,30f93b0db7b445d7afc04dbc99de3d65,剑阁县公兴镇新生村风貌打造,discard_deleted_source,deleted_flag|direction_defer|partner_unresolved,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
48e166c43a3c4f5ab54a6ed2f2ba86a1,c60695931b894e94b2c2011981c6a9e6,四川美丰化工股份有限公司燃气报警系统安装工程,project_anchor_blocked,partner_ambiguous|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
495505e547ef4abfa0d92ddf8fa75372,89e4f0b434dd40be8c6b7e452d8123c3,WBHTGL-20201026-003,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
49de1c61b9024122af5d4cf780789fe7,ec88d5baad4d4988a9146abbe358e6db,K1221+200~K1239+705段水稳、透层、沥青混凝土面层工程,project_anchor_blocked,project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
4a2fbaf074e34e94a9d7a7b1c0732f40,d673283d7f064228aa3bcdb822c8d425,花都区智能学校新华校区建设项目工程室外工程专业分包,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4a3e6eca2f7d41e889fad2a3a61a069a,b024fdce92fc4c7d9a196718ad0734a8,德阳站综合交通枢纽改造项目桥梁地下室主体结构工程,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4b79bd768ce644c4a1957126bbe23d03,910ed968bceb422f9ce302e2799da9b8,西藏方向军事设施建设项目施工总承包合同90项目工程工序劳务作业,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4bb761605d9742c1bde953ae39deec34,e9308fc1ac5e4dc6bf0584c002b96347,德溪乡司法所,project_anchor_blocked,direction_defer|partner_unresolved|project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
4d89ae3135154de6a568fcc1ba63e332,208e534eab2d47c6b23bd0576523922c,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4dd3cbf1f2d64bd287d9ee3ab6b79485,9ebba094a48443a39dd7e1421da8dfbb,四川宝烨金属制品有限公司燃气报警系统安装,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4e136b9145834c2db85823b3c7289c10,4bbff2852e8e46d38ceb8ed5b1c9de84,补充协议,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
4ea9fba1493e4313906dee8f968f37dd,a23dd17f3b044c6e922cddbecbae097e,细磨车间、碳酸锂车间防水补漏项目工程施工合同,discard_deleted_source,deleted_flag,discard_deleted_source,deleted legacy source row; do not migrate unless business reversal evidence appears
4eec9aefce68418eab4c63c67bb75f57,c61a4566cd554630adf3359de5f449d6,珠峰文化旅游创意产业园区基础设施建设项目一期工程第三标段,project_anchor_blocked,project_unresolved,project_anchor_recovery_screen,contract row cannot migrate until project anchor is resolved
5016ff407edc491abe55517e49bec0ca,4bbff2852e8e46d38ceb8ed5b1c9de84,专业分包合同补充协议,partner_anchor_blocked,partner_ambiguous,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
501f9de03b7d49aba77aede72ee0c8d5,93f06cd7b4224d759b02bd71317c00d9,2025年度钻前辅助工程及劳务项目第九标段2025年度西南油气分公司中江、孝泉、德新、广汉、什邡地区钻前主体工程劳务分包项目,partner_anchor_blocked,partner_unresolved,partner_anchor_recovery_screen,contract row cannot migrate until counterparty anchor is resolved
