source_table,legacy_record_id,project_name,other_system_id,company_id,fact_family,amount_total
T_FK_Supplier,29396a5df9f9477fbab53a903c9c32ea,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,-300000
T_FK_Supplier,2944f5dab9c94204bd36447762d16a32,德阳市区永沁建材经营部,SCBS:BASE_SYSTEM_PROJECT:6a17ac64b1ac4b619e39abbff3effd4b,,payment,183000
T_FK_Supplier,29720a5346fc41f8ae2ef8598a577b3f,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,11112.31
T_FK_Supplier,299f65c720ad47729e2ca74c6f3d80d5,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,200000
T_FK_Supplier,29c4113eebfd4ce09bf1949eba7220d8,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,49
T_FK_Supplier,29d54163653d4da891a323b932990892,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,103.78
T_FK_Supplier,29dec95498da438ca78c8336e44ae501,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,22.5
T_FK_Supplier,2a4ed7a9835f4d828d8571c19ca56cb5,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,100000
T_FK_Supplier,2a55babb7c494631bf58e5a44fa95f42,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,-91878.72
T_FK_Supplier,2a7a474db7f64310af7feb4892e33af2,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,30
T_FK_Supplier,2a8e628e0de240db96f546a258ab06ef,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,125002.53
T_FK_Supplier,2a9919a4c965442e90cdfcffee717c4c,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,18
T_FK_Supplier,2adbece7b35a4cae903dc41e380b9ef3,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,9
T_FK_Supplier,2afdda08fc104a869faa3dbb15a92051,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,5
T_FK_Supplier,2b220fcc5328484b8d2cfc93f6f92690,四川晟博通达商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,,payment,1417.53
T_FK_Supplier,2b45294ecf864c0c9b2427fe975e1276,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,31753
T_FK_Supplier,2b9063a84f4d4e8b8f8d3f05a99cd078,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,13.5
T_FK_Supplier,2b9f6e3373b9479f86f95096e83b2530,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,93.85
T_FK_Supplier,2baccf7776924757a8901234a1399fa7,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,117
T_FK_Supplier,2bc441a62e2442c5a4d9e1bb09e12143,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,1
T_FK_Supplier,2bd6f35ffeb2403e96a662e892db4399,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,340043
T_FK_Supplier,2bf24401a7a1458c8b617e7086dc9274,德阳森元路面工程有限公司,SCBS:BASE_SYSTEM_PROJECT:0d7cd766eb9f4d23b53761e593148e25,,payment,10
T_FK_Supplier,2bfe0f06780c456aaf9cd8a7390ccad3,四川翔驰恒瑞商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,,payment,2943.32
T_FK_Supplier,2c600a2dc7d94429a363d1411ed49588,四川翔驰恒瑞商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,,payment,8
T_FK_Supplier,2c732b9e13e846ee9d652ecd9e0f6943,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,9
T_FK_Supplier,2c8985d662be42838b78b0f77116fd0f,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,-132230
T_FK_Supplier,2c90d0ae1feb4f618040f41a02212897,四川宏川建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:8e63129abde54614ae66ef7df8f91046,,payment,-100000
