legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code,legacy_stage_id,legacy_stage_name,legacy_region_id,legacy_region_name,legacy_state,legacy_deleted_flag,legacy_project_manager_name,legacy_technical_responsibility_name,current_db_project_id,evidence_file,idempotency_key,replay_action
0fe3fceb5f4b4c4fa5fae8527912fb93,10743,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,548,945faf15e6c249dda0892e6c8932ec3a,,,,109480,16982984901330000,,,,,,0,,,2158,artifacts/migration/project_create_only_expand_write_result_v1.json,project::0fe3fceb5f4b4c4fa5fae8527912fb93,create_if_missing
102a738d1fee481fb215df95de82490c,17120229293160000,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,0,,e317967e93a42d9e4bc31f1ccb770394,,,,162252,17137750274650000,,,,,,0,,,2159,artifacts/migration/project_create_only_expand_write_result_v1.json,project::102a738d1fee481fb215df95de82490c,create_if_missing
106e8ac916084f398b89d0a564f2473f,17627375066040000,德阳市罗江区公路建设养护所2025农村公路维修,,,1,四川保盛建设集团有限公司,430001,公路工程,1,联营,,,,1,,e8adfc26e2be94ba626c0ab65e67897c,,,,238362,17649154939060000,,,,,0,0,,,2160,artifacts/migration/project_create_only_expand_write_result_v1.json,project::106e8ac916084f398b89d0a564f2473f,create_if_missing
108141059f724a008d2250d7c01449c8,17528002085560000,龙泉山路与旌湖路交会处东北角土地围挡项目,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,1,,a78a40ae4fb898a4e5ebbb03d338b4a3,,,,223771,17543642791370000,,,,,0,0,,,2161,artifacts/migration/project_create_only_expand_write_result_v1.json,project::108141059f724a008d2250d7c01449c8,create_if_missing
11e56ccc546e4532a323597457133e8c,10307,古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,153,1b0ff33a795a4d8fbf6be608b7c939a5,,,,109804,16982986201630001,,,,,,0,,,2162,artifacts/migration/project_create_only_expand_write_result_v1.json,project::11e56ccc546e4532a323597457133e8c,create_if_missing
125f0ae46d734ad68124ddadc3d5eb19,17156810963880000,洛碛餐厨污水处理厂基础设施修复及零星工程项目,,,570,保盛重庆分公司,390001,房建工程,1,联营,,,,0,,1a8215493053722c6065dd476af8e78b,,,,163477,17156811082780000,,,,,,0,,,2163,artifacts/migration/project_create_only_expand_write_result_v1.json,project::125f0ae46d734ad68124ddadc3d5eb19,create_if_missing
12bab8c00273463cae235c1615796bb3,10570,青龙工业园区雨污水管网应急修复项目,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,378,bb47c735ce07418ea2f6493d94513ddc,,,,109623,16982985666170000,,,,,,0,,,2164,artifacts/migration/project_create_only_expand_write_result_v1.json,project::12bab8c00273463cae235c1615796bb3,create_if_missing
12dc2d35442c43f481d6e3880f8a306e,10438,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,246,42b2723487fc4700be11314a74bc23b4,,,,109727,16982985799760001,,,,,,0,,,2165,artifacts/migration/project_create_only_expand_write_result_v1.json,project::12dc2d35442c43f481d6e3880f8a306e,create_if_missing
1357e63a4149468ea5b484a53ec1efa4,10836,开挖修复359机位消防主管道爆管项目,,正式项目,570,保盛重庆分公司,400001,市政工程,0,联营,,,,0,641,c55cadce22ed485aaedf055ad84e7b2a,,,,109403,16982984804300001,,,,,,0,,,2166,artifacts/migration/project_create_only_expand_write_result_v1.json,project::1357e63a4149468ea5b484a53ec1efa4,create_if_missing
135be6807d2043619fde2b6efe531cf6,10310,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,153,1b0ff33a795a4d8fbf6be608b7c939a5,,,,109801,16982986197570001,,,,,,0,,,2167,artifacts/migration/project_create_only_expand_write_result_v1.json,project::135be6807d2043619fde2b6efe531cf6,create_if_missing
