legacy_project_id,target_lifecycle_state,target_phase_key,target_stage_xmlid
2c8212fcec854602883cf1f1b88f9354,in_progress,execution,smart_construction_core.project_stage_running
2cc4764ad05e4c5ebaeaf4d5a85c5cd7,in_progress,execution,smart_construction_core.project_stage_running
2cd51f2a8f064ef691347e5fee5d83fb,in_progress,execution,smart_construction_core.project_stage_running
2cdca43cbcab4faf95cdbc99a09a1454,in_progress,execution,smart_construction_core.project_stage_running
2d0c8990b9944c60b5ea355035049c1b,in_progress,execution,smart_construction_core.project_stage_running
2e22b1e9bd614b3a9b1abc3ac9cdc912,in_progress,execution,smart_construction_core.project_stage_running
2e82c7a28d2d4455a075564650a4caf9,in_progress,execution,smart_construction_core.project_stage_running
2e9c130a609342e28328c728d28b9eb7,in_progress,execution,smart_construction_core.project_stage_running
2ea97dc724a9493ea18676d910616d8a,in_progress,execution,smart_construction_core.project_stage_running
2ec0da21560a45959b90a77d12866c51,in_progress,execution,smart_construction_core.project_stage_running
2f3cdff1dafd40c4b92d3be23af67b52,in_progress,execution,smart_construction_core.project_stage_running
2f4e8d6faf9840918cd916598df3b526,in_progress,execution,smart_construction_core.project_stage_running
2f52db447c8f40c386caad3664fade2b,in_progress,execution,smart_construction_core.project_stage_running
2fc661b9f89343febe46538b446c07f5,in_progress,execution,smart_construction_core.project_stage_running
2fd504d1871e4b86a2ae42d8e1ed8810,in_progress,execution,smart_construction_core.project_stage_running
3021356f755143a8b18255091cc9c42b,in_progress,execution,smart_construction_core.project_stage_running
308f3a386994423093c36b6d02452501,in_progress,execution,smart_construction_core.project_stage_running
30f93b0db7b445d7afc04dbc99de3d65,in_progress,execution,smart_construction_core.project_stage_running
32cdeb11726f42ec80dc90d7405ef8a3,in_progress,execution,smart_construction_core.project_stage_running
332807dc401e4bc5802578da12fe8d98,in_progress,execution,smart_construction_core.project_stage_running
335e9c88d30c46f6bdd970a80d241b00,in_progress,execution,smart_construction_core.project_stage_running
339f28c8a4a44c5bb33e1c9d7ab1ff30,in_progress,execution,smart_construction_core.project_stage_running
33bf23a069304419a4c259caf04473a8,in_progress,execution,smart_construction_core.project_stage_running
35aa78045dea48e082cae3f783e952b6,in_progress,execution,smart_construction_core.project_stage_running
35d5e3007cae414ebdcf9b2dc65d84b4,in_progress,execution,smart_construction_core.project_stage_running
369f099d737d448aa55cd8f191da953b,in_progress,execution,smart_construction_core.project_stage_running
36e5e7c783fb4fa5941a032db7afbd05,in_progress,execution,smart_construction_core.project_stage_running
3713a6cc17f7489f8639d13701cb6376,in_progress,execution,smart_construction_core.project_stage_running
37a2903cc4f94a9194faedfa2148bb0e,in_progress,execution,smart_construction_core.project_stage_running
37c8dab219e04007af40a2ee780477bf,in_progress,execution,smart_construction_core.project_stage_running
387477e67b134c0ba596acb49fccc62c,in_progress,execution,smart_construction_core.project_stage_running
3874b7b8947c4d5295911523127a1f1e,in_progress,execution,smart_construction_core.project_stage_running
38a5b46f53294ed7bcd2ed60c2a8ab46,in_progress,execution,smart_construction_core.project_stage_running
38a935363c53402fa59ee99c9170f8de,in_progress,execution,smart_construction_core.project_stage_running
