contract_id,legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,name,subject,type,state,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,line_count,is_locked
1006,b1fb5a0c5eea40cc8fc831be8ea87ee6,1496d77696814bca8ab7b5d1423b5d5f,2170,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）,4081,国网四川省电力公司德阳供电公司工会委员会,CONIN2600969,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）补充协议,out,draft,DYS2021-30-01,WBHTGL-20210425-001,1000000409,2,,国网四川省电力公司德阳供电公司工会委员会,0,False
1007,b2158f76f9184b17b6d91e7d0cefc46e,d33b7d4610d240a0a3551630955bd733,2731,四川省绵阳外国语学校综合中心初中部图书室改造项目,5843,四川省绵阳外国语学校,CONIN2600970,四川省绵阳外国语学校综合中心初中部图书室改造项目,out,draft,MYS2025-139,WBHTGL-20250901-002,17567072883730000,2,0,四川省绵阳外国语学校,0,False
1008,b226cb5219b14e5d82daee3de2d097dd,9999948fd712497985312d9b63a718fb,2577,两路市政环卫所-渝北区2022年元旦春节街景灯饰建设工程项目,4952,重庆市渝北区两路市政环境卫生管理所,CONIN2600971,两路市政环卫所-渝北区2022年元旦春节街景灯饰建设工程项目,out,draft,CQS2021-106,WBHTGL-20211206-001,1000000552,2,,重庆市渝北区两路市政环境卫生管理所,0,False
1009,b22bc12ef6bf4f9bad60c5474f98e460,94e3c6b241b94290aee703a35bacf5cd,2564,荣昌区仁义中学校舍建设项目,4969,重庆市荣昌仁义中学校,CONIN2600972,荣昌区仁义中学校舍建设项目,out,draft,CQS2022-63,WBHTGL-20220914-002,1000000758,2,,重庆市荣昌仁义中学校,0,False
1010,b24f35188a5948e083279a6e7e42944b,08fa00e1bf9d4c88bcbfa652610aa347,2136,永川区卫星中型灌区续建配套与节水改造工程,5923,重庆市永川区水利站,CONIN2600973,永川区卫星中型灌区续建配套与节水改造工程,out,draft,CQS2022-54,WBHTGL-20220715-001,1000000690,2,,重庆市永川区水利站,0,False
1011,b288defa8368414397daed34ca2a0255,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600974,五教东边临湖青石板路维修及拓宽项目,out,draft,DYS2022-04-02,WBHTGL-20220111-002,1000000588,2,,四川工程职业技术学院,0,False
1012,b2dfdb382a0f42e095d6896874692e9a,08ac2e586f574d39a3272852fa22bf71,2135,德昌县宽裕镇花园村文化休闲广场,4234,德昌县宽裕镇人民政府,CONIN2600975,德昌县宽裕镇花园村文化休闲广场,out,draft,LSZ2019-41,WBHTGL-20200229-008,1000000042,2,,德昌县宽裕镇人民政府,0,False
1013,b30b0f0fee9d4377be5fa701a3140e39,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,5803,二重（德阳）重型装备有限公司,CONIN2600976,热处理厂6#炉集中供风装置修理,out,draft,DYS2025-190,WBHTGL-20251106-002,17624135238700000,2,0,二重（德阳）重型装备有限公司,0,False
1014,b326335d8a634f11b0288c418cf653d1,e8f89b108b8e4e46b84c1d3a60233d10,2799,南川区石溪镇2024年农村公路（学校至王官果业（主干道至家禽屠宰场）、灯草湾至枫香榜）建设项目,4938,重庆市南川区石溪镇人民政府,CONIN2600977,补充合同书,out,draft,CQS2025-36,WBHTGL-20250320-002,17424336926230000,2,0,重庆市南川区石溪镇人民政府,0,False
1015,b328d3a0eed14a4780182acc63e91e71,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600978,2020防洪沙袋项目,out,draft,DYS2020-07-21,WBHTGL-20200701-001,1000000212,2,,四川工程职业技术学院,0,False
