external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_id
legacy_partner_sc_727c2f76bafe4e6db778c02d24e976ab,旌阳区力军利建材经营部,company,1,92510603MA6769PXOT,,,727c2f76bafe4e6db778c02d24e976ab,cooperat_company,旌阳区力军利建材经营部,92510603MA6769PXOT,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,727c2f76bafe4e6db778c02d24e976ab
legacy_partner_sc_72852258762740a595a13397739897d1,西藏诚隆混凝土有限公司,company,1,91540195MADN1A100G,,,72852258762740a595a13397739897d1,cooperat_company,西藏诚隆混凝土有限公司,91540195MADN1A100G,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,72852258762740a595a13397739897d1
legacy_partner_sc_72857ee79f8f4278a04ba0c9ef428733,重庆芮业建材销售有限公司,company,1,91500117MABULMDHOR,,,72857ee79f8f4278a04ba0c9ef428733,cooperat_company,重庆芮业建材销售有限公司,91500117MABULMDHOR,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,72857ee79f8f4278a04ba0c9ef428733
legacy_partner_sc_729f895834a54233bbb45d775e5f6eaf,绵阳市涪城区宏欣佳卫浴经营部,company,1,92510703MA664MAU45,,,729f895834a54233bbb45d775e5f6eaf,cooperat_company,绵阳市涪城区宏欣佳卫浴经营部,92510703MA664MAU45,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,729f895834a54233bbb45d775e5f6eaf
legacy_partner_sc_72b495efa5da4c8e88c099bc7a7c21ce,中江县南华镇许棋建材经营部,company,1,,13608183422,,72b495efa5da4c8e88c099bc7a7c21ce,company_supplier,中江县南华镇许棋建材经营部,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,72b495efa5da4c8e88c099bc7a7c21ce
legacy_partner_sc_72de64234d834b29aac82b59252712d6,喀什川云电气成套设备有限公司,company,1,91653101MA77W86J6K,,,72de64234d834b29aac82b59252712d6,cooperat_company,喀什川云电气成套设备有限公司,91653101MA77W86J6K,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,72de64234d834b29aac82b59252712d6
legacy_partner_sc_72e0c3467db444bebafa19f8000820f4,喀什市毅辰电力器材经销部,company,1,92653101MACKXPRJ22,,,72e0c3467db444bebafa19f8000820f4,cooperat_company,喀什市毅辰电力器材经销部,92653101MACKXPRJ22,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,72e0c3467db444bebafa19f8000820f4
legacy_partner_sc_73079ecde7284c67b453893745d5b2cb,绵阳市安州区桑枣镇福衡机械租赁部,company,1,92510705MA67WFCH57,,,73079ecde7284c67b453893745d5b2cb,company_supplier,绵阳市安州区桑枣镇福衡机械租赁部,,92510705MA67WFCH57,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,73079ecde7284c67b453893745d5b2cb
legacy_partner_sc_730a414b7d304afe9ea00a04502acfcc,衡水征禹橡塑制品有限公司,company,1,91131101MAOE686K6E,,,730a414b7d304afe9ea00a04502acfcc,cooperat_company,衡水征禹橡塑制品有限公司,91131101MAOE686K6E,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,730a414b7d304afe9ea00a04502acfcc
legacy_partner_sc_731d6d465bd24ca6a69b4b174b8f9df5,广州峰华石材有限公司,company,1,,,,731d6d465bd24ca6a69b4b174b8f9df5,cooperat_company,广州峰华石材有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,731d6d465bd24ca6a69b4b174b8f9df5
