legacy_project_id,contract_rows,source_project_rows,active_source_project_rows,source_project_name,source_project_deleted,source_project_state,sample_contract_id,sample_contract_subject,recovery_route,recovery_note
a0090073c7bc4521b1a419e1f65944ef,1,0,0,,,,65e911f9b7f446aeabdf53b51b4f45c4,125t电炸炉项目部分建筑窗户改造工程,legacy_project_source_missing,legacy project id is not present in project.csv
a6af94c87d324ebda82ca2a8b1c89b8e,1,0,0,,,,83fcb7d4d95c4aca908cc46f66c0e8bc,蓝海实习实训基地装修工程,legacy_project_source_missing,legacy project id is not present in project.csv
a764a9cefe994b3ab38c8888c35bba33,1,0,0,,,,66c5576bd5824778ba036d0bd76d65e5,布拖县（基只乡镇）2016年—2019年安全住房地质隐患应急抢险项目,legacy_project_source_missing,legacy project id is not present in project.csv
afc6f72081784a20bf1b7791e97938b7,1,0,0,,,,acf1cbf745df4e0e9bcdeaca4fa062b9,越西县挡土墙,legacy_project_source_missing,legacy project id is not present in project.csv
b09b4349c35a4bec9fd3b6c99b69d8ef,1,0,0,,,,f8069b34f6a24e8da87d416069ef6920,2019年帕哈乡八合村产业发展沟渠,legacy_project_source_missing,legacy project id is not present in project.csv
b106c4ed4e0942c28f12d56841704966,1,0,0,,,,1c709b65ec444dd7be835b144775012a,长安街道菜市,legacy_project_source_missing,legacy project id is not present in project.csv
b6f23da5368d4972b0f0b68310d0651a,1,0,0,,,,a8324bae84a04582aa1f8240fa7bd8f1,江油市铜星乡菩提村沟渠建设,legacy_project_source_missing,legacy project id is not present in project.csv
b964273b1ce94eda9eb8af0c2ac30789,2,0,0,,,,63327c4e845945b0893633567d9bf9cc,WBHTGL-20200226-007,legacy_project_source_missing,legacy project id is not present in project.csv
b9bad8249e234860945621a3000134db,1,0,0,,,,73a10fc785ef402ab07a6889364150f7,2020年金阳县德溪乡贫困特色水果种植基地基础设施建设,legacy_project_source_missing,legacy project id is not present in project.csv
bf39519af18644a4ba2347cfeb2a3cac,1,0,0,,,,8856691418164348bd7b75fc88a6ac71,万兴一品三组团,legacy_project_source_missing,legacy project id is not present in project.csv
