review_priority,suggested_action,decision,decision_note,target_material_catalog_id,accepted_material_catalog_id,coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count
4,create_or_map_material_catalog,,,,,catalog_missing,f134aa3b307241e4b1b5a38b2fa5c255,丙烯酸高弹防水涂 料(屋面专用)HCA122- P-20，，JG/T375,,kg,1,1,5380.0000,112173.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,e2ead6f4607c4cb7bf8fe8a37f75c889,LED显示屏,BTQ015,平方,1,1,11.4700,112004.55,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,e4e5b1bf1aac440db207c276b1ec2043,室内小间距显示屏,BTQ015,平方,1,1,11.4700,112004.55,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,2f2cebf5ab2c4d82a06248d3307ce410,机砂,0-0.475cm,m3,1,1,644.2000,109514.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,79dddf6d557848a78bf6612df3289789,热轧带肋钢筋,20定尺9米,t,3,1,26.4060,108401.40,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,d1be6fd2a6c447d7bad61fae1a7ac3a2,钢带缠绕管,SN1000 SN10,米,1,1,210.0000,107940.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,34301,道路护栏,,米,1,1,819.0000,106470.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0b2ce8dada284caba3e41f437c535b38,景观灯,,盏,2,1,38.0000,105488.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,2ff4b700260948118bc88de7bd19307d,盘螺HRB400E,8,吨,6,6,26.2743,103192.88,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,56927b2cb1e24e22be93fbceeec418ca,蒸压加气混泥土砌块,600*200*200,M3,1,1,397.4400,101347.20,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,5879e4fa572f4e42aae39e8f7b869592,CGP强粘蠕变型高分子防水卷材,,M2,1,1,2500.0000,100000.00,,0,,0
