external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_0157b91aadf8444f9064376081e534ad,5414,PRQ2605414,5100.00,1,5100.00,legacy_actual_outflow_sc_bb0f2f4cf5f44d939d93e6a41bfea256,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_015c553823db4bc789ea105402a5af53,5415,PRQ2605415,3000.00,1,3000.00,legacy_actual_outflow_sc_e69ff7c3f59d474885ab628bfd731478,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_015d47f87d494caeaf41766983231211,5416,PRQ2605416,160827.00,1,160827.00,legacy_actual_outflow_sc_c14d02305ddc4c63b303ffe22bbfa064,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0163ff03c1f647938d662157fa31a30c,5417,PRQ2605417,400000.00,1,400000.00,legacy_actual_outflow_sc_6ccc1a0517d44494a7aa636568a8b3be,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01642516dde6401388ced6151f6cfd15,5418,PRQ2605418,200283.00,1,200283.00,legacy_actual_outflow_sc_e0b191c1bc7144d0b253bc8395dd5226,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0165f32ae3a34a328be492264a685115,5419,PRQ2605419,61495.00,1,61495.00,legacy_actual_outflow_sc_f93b580bf23448959634c40f829b90e7,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_016ab3b19b544e679b0109df062d7f78,5420,PRQ2605420,173389.00,1,173389.00,legacy_actual_outflow_sc_1979318dff704ef4b6a8a1dbc7e6cd5d,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_016ef158d96144fd8936b62c476f7837,5421,PRQ2605421,39520.00,1,39520.00,legacy_actual_outflow_sc_05c3bcdc44204ccbb5fd60e8b0e9e012,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_017021b031a54a2f836d09e058c45e5f,5422,PRQ2605422,5340.84,1,5340.84,legacy_actual_outflow_sc_c5fb44feaf034c359391dd6b7c873713,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0174346f2b8545e999010a287ae80ab8,5423,PRQ2605423,3700.00,1,3700.00,legacy_actual_outflow_sc_9641902afa5f47b09780630e87137568,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_017502497a234d0aadef42bcefaab1ba,5424,PRQ2605424,16859.00,1,16859.00,legacy_actual_outflow_sc_041aca5109a748c4a3f359db2e2867cf,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01762c01b2de495bb0824539c06bcac8,5425,PRQ2605425,9768.00,1,9768.00,legacy_actual_outflow_sc_d7c06c6095084aff9ff6c71e7bd6745b,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0178bc1c14a947988eb32a1a884af526,5426,PRQ2605426,94489.00,1,94489.00,legacy_actual_outflow_sc_66e641447e434c069ca1a91128931369,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_017d007a8dc84fb39ca2e9022d52fa4b,5427,PRQ2605427,50000.00,1,50000.00,legacy_actual_outflow_sc_bbff337d694c4e80850c3aab31bb2460,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0180ec0f04954251af121459506feb8d,5428,PRQ2605428,50310.00,1,50310.00,legacy_actual_outflow_sc_bfd06891ee894a8f905f02dc6427d431,done,validated,historical_paid_by_downstream_business_fact
