id,legacy_project_id,name,lifecycle_state,phase_key,sc_execution_state,stage_id,owner_id,location,boq_line_count,contract_count,request_count,ledger_count,receipt_count,expense_count,invoice_count,loan_count,fund_count
593,c52d2b1e41f747bbb8231326c8d2d344,"{""en_US"": ""奇峰镇共和村蔬菜产业园提升项目""}",in_progress,execution,in_progress,6,,,0,12,43,16,1,0,2,0,0
594,c5aaca9d17534640bd9c0821a1032d92,"{""en_US"": ""四川创型工程设计有限责任公司""}",in_progress,execution,in_progress,6,,,0,0,3,1,1,0,1,0,0
595,c5d91c8c77db49e3b66db0ac88d0d643,"{""en_US"": ""合川高新区南溪组团用地整治项目""}",in_progress,execution,in_progress,6,,,0,4,24,9,2,0,8,0,0
596,c7f4ba7e38cf4b29b239a9b5ddd0ff94,"{""en_US"": ""罗江翰林豪锦苑一期工程""}",in_progress,execution,in_progress,6,,,0,5,81,30,13,4,29,0,0
597,c845a86e0fed40a6afd947f09580664f,"{""en_US"": ""渝北区东风水库防汛公路硬化扶助工程""}",in_progress,execution,in_progress,6,,,0,6,23,9,1,8,3,0,0
599,c99641e9b7d8419bb1318f070e2496fd,"{""en_US"": ""什邡市经济开发区一级消防站及综合应急救援训练基地项目""}",in_progress,execution,in_progress,6,,,0,0,3,1,1,0,4,0,0
600,ca9894f65c5e4b3cac86e93d68fadc29,"{""en_US"": ""中国移动四川公司绵阳分公司2021-2022年渠道维修采购项目框架协议""}",in_progress,execution,in_progress,6,,,0,7,36,13,6,0,11,0,0
601,ca9cc3a115d44c1faf31b0ae8d8c16dc,"{""en_US"": ""垫江县城区污水处理厂提标改造项目（中水管网建设工程A段）--玉鼎桥至明月大道段（第二次）""}",in_progress,execution,in_progress,6,,,0,1,3,1,0,2,0,0,0
602,cad02e2bd4444edead1b36635639cf2d,"{""en_US"": ""巴中恩阳临港产业园建设项目一制造业组团项目润禾改造工程1-5号楼防水保温工程""}",in_progress,execution,in_progress,6,,,0,12,34,15,3,2,10,0,0
603,cbfd01c8330749afb93f66ff9951df78,"{""en_US"": ""四川建筑职业技术学院德阳校区学生公寓粉刷维修项目""}",in_progress,execution,in_progress,6,,,0,1,17,7,1,4,4,0,0
605,cc493dcfaf6b488492e6566f21b42af0,"{""en_US"": ""C地块非机动车停车场修建工程""}",in_progress,execution,in_progress,6,,,0,6,12,5,1,0,2,0,0
606,ccbab4088228455ba6ac3375b1d2482d,"{""en_US"": ""信息中心图书馆安全整治及服务能力提升项目""}",in_progress,execution,in_progress,6,,,0,1,1,0,0,0,0,0,0
607,cce3135c7a5347cd9733a853b942a3fc,"{""en_US"": ""C4-3-1、C4-3-2等3宗地块整治工程水泥稳定碎石层铺筑""}",in_progress,execution,in_progress,6,,,0,2,3,1,0,2,0,0,0
608,cd4ddecc90324b76b303a4e4cbbb9e5b,"{""en_US"": ""国家水土保持重点项目中江县2019年冯店小流域水土流失综合治理项目""}",in_progress,execution,in_progress,6,,,0,6,36,13,4,4,15,0,0
609,cd883a71c893424fbe432603091e451d,"{""en_US"": ""澜公馆景观工程""}",in_progress,execution,in_progress,6,,,0,28,191,88,6,8,45,0,0
610,ce271702026b42be8f214613a471690e,"{""en_US"": ""眉山天府新区老场镇雨污分流改造工程（钢铁片区）管网检测""}",in_progress,execution,in_progress,6,,,0,4,11,5,1,7,1,1,0
611,ce39775b7f8e42c7bc487ff69c4acc98,"{""en_US"": ""阆中水城项目唐家山片区一期酒店热水及地暖改造工程""}",in_progress,execution,in_progress,6,,,0,6,14,5,2,0,2,0,0
612,ce7524b7223d46e8974e48044decb355,"{""en_US"": ""苍溪县鸳溪镇城乡建设用地增减挂钩项目""}",in_progress,execution,in_progress,6,,,0,0,17,6,5,0,11,0,0
613,ce7c47d08d88409da91cd433099d5cee,"{""en_US"": ""四川现代农业工程职业学院一期工程（10#教学楼、培训中心）""}",in_progress,execution,in_progress,6,,,0,39,569,263,7,7,46,32,0
614,cf1710ce2cc140c2b0710924a59a216b,"{""en_US"": ""喀什地区英吉沙县2022年停车场建设项目工程总承包""}",in_progress,execution,in_progress,6,,,0,51,120,57,2,0,1,0,0
615,cfa432be43df4f4284bb60fb3fce488d,"{""en_US"": ""德阳市旌阳区崴螺山-高屋（寿崴路改线）道路改建工程项目""}",in_progress,execution,in_progress,6,,,0,1,1,0,1,0,1,0,0
616,cfca2fd82f1242f3806057b2900d06b0,"{""en_US"": ""眉山环天水务有限公司各条线服务供应商项目（包2）-舒坪社区管网工程""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,2,4,0,0
617,d07b7a7a37aa473a89d006c178a4e033,"{""en_US"": ""拉萨市柳梧新区管网错接改造""}",in_progress,execution,in_progress,6,,,0,3,10,3,3,0,8,0,0
618,d0ba123f238b4fd68e33aad904dfcb50,"{""en_US"": ""拉萨市柳梧新区排污管网改造""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,2,0,0
619,d15f664bee1444c488e1b88b678e6af2,"{""en_US"": ""大唐甘肃发电有限工程碧口水力发电厂心苑职工家属区物业维修改造""}",in_progress,execution,in_progress,6,,,0,8,31,12,6,0,12,0,0
620,d160e20360074d30af053a069f62ebec,"{""en_US"": ""江油涪江上游武都水库珍稀和特有鱼类繁育中心项目""}",in_progress,execution,in_progress,6,,,0,0,0,0,0,0,1,0,0
621,d17be2d1b09f4364bc37820ccd7c6b05,"{""en_US"": ""旌阳区黄许镇糖场桥暴雨洪涝灾害水毁重建工程项目""}",in_progress,execution,in_progress,6,,,0,5,31,11,6,0,5,0,0
622,d2584e69e21145199d66b25b0181e0a8,"{""en_US"": ""西南大数据创新应用中心项目土石方""}",in_progress,execution,in_progress,6,,,0,12,32,13,3,0,10,0,0
623,d2fbb60741f64cd99c82017452a54663,"{""en_US"": ""何东中石油煤层气公司新疆后峡项目""}",in_progress,execution,in_progress,6,,,0,9,18,7,4,0,4,0,0
624,d306ec31828d4c3eabf63d75a7c1b448,"{""en_US"": ""莎车县艾力西湖镇拜什库都克(12)村农村污水治理建设项目(二次)""}",in_progress,execution,in_progress,6,,,0,8,32,13,3,0,8,0,0
625,d33b7d4610d240a0a3551630955bd733,"{""en_US"": ""四川省绵阳外国语学校综合中心初中部图书室改造项目""}",in_progress,execution,in_progress,6,,,0,7,11,5,1,2,2,0,0
626,d397cd38ebae427ca4304745cd901ba4,"{""en_US"": ""德阳新城吾悦广场住宅整期幕墙工程""}",in_progress,execution,in_progress,6,,,0,5,140,56,7,0,8,6,0
627,d3efb18b6f9a44f9b72343d9223c5b40,"{""en_US"": ""四川致远锂业有限公司生产厂房土建零星及维修工程""}",in_progress,execution,in_progress,6,,,0,4,15,5,2,0,2,0,0
628,d44862eefe674f20bc033c364f15c515,"{""en_US"": ""喀什地区检察院办案与专业技术用房外立面改造项目""}",in_progress,execution,in_progress,6,,,0,31,99,46,3,0,3,0,0
630,d502c2489723449486522eca798884fa,"{""en_US"": ""中国移动四川公司成都分公司2021-2022年渠道维修采购项目框架协议""}",in_progress,execution,in_progress,6,,,0,19,96,34,14,0,31,0,0
631,d5335e46b2c241fcb9ae857d721331d6,"{""en_US"": ""德阳市漓江路大桥-穿绵远河给水管道工程""}",in_progress,execution,in_progress,6,,,0,1,1,0,1,0,1,0,0
632,d54e7276be1b4244b5531898f2d2f00b,"{""en_US"": ""德阳市旌阳区东湖-和新道路改建工程一标段、德阳市旌阳区崴螺山至高层（寿崴路改线）道路工程""}",in_progress,execution,in_progress,6,,,0,3,57,25,4,0,7,11,0
633,d5e059c23e3d4a2c802cbecb7911cd38,"{""en_US"": ""绵竹何高春项目""}",in_progress,execution,in_progress,6,,,0,15,46,15,6,0,7,0,0
