row_no,proposed_action,target_model,target_company_type,target_customer_rank,target_supplier_rank,target_tax_number_policy,legacy_partner_source,legacy_partner_id,legacy_partner_name,legacy_source_evidence,future_rollback_key,design_blocker
66,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,4b8cbcf5d70b475f8f22ec7d1c5cb03e,中国人民解放军 77626 部队,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:4b8cbcf5d70b475f8f22ec7d1c5cb03e,
70,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,75856b88637d498a91136df27cb54110,中国人民解放军32167部队保障部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:75856b88637d498a91136df27cb54110,
71,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,bd25c868bb234837815e671eca032883,中国人民解放军32167部队保障部收缴户,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:bd25c868bb234837815e671eca032883,
73,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,4affd143bf654c8884505e419bc89c7d,中国人民解放军77561部队收缴户,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:4affd143bf654c8884505e419bc89c7d,
75,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,fec5e9cbeb044404b157529b54a0996b,中国人民解放军77626部队保障部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:fec5e9cbeb044404b157529b54a0996b,
76,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,42d9b83e18a94c178721fbfd11ccb5a7,中国人民解放军95696部队,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:42d9b83e18a94c178721fbfd11ccb5a7,
77,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,9EBEBD05FDAC4BC0BB6F717BFBECB9D1,中国人民解放军四川省德阳市旌阳区人民武装部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:9EBEBD05FDAC4BC0BB6F717BFBECB9D1,
78,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,77e46fa12d9f4d25b5df2d63df571691,中国人民解放军第5719工厂,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:77e46fa12d9f4d25b5df2d63df571691,
82,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,5a2fcb1ba1a245209a5e59f8ec6415e1,中国人民财产保险股份有限公司四川省分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:5a2fcb1ba1a245209a5e59f8ec6415e1,
84,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,289644a188dd43b8a44390c8adacd7ef,中国人民财产保险股份有限公司泸州市分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:289644a188dd43b8a44390c8adacd7ef,
85,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,e537f4c5623b47069829ce89e7562748,中国人民财产保险股份有限公司綦江支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:e537f4c5623b47069829ce89e7562748,
86,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,d1b45a16029a49cc8ee37c155054e542,中国人民财产保险股份有限公司绵阳市分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:d1b45a16029a49cc8ee37c155054e542,
87,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,a04f457584c64b4e8b03b1f15e5676cd,中国人民财产保险股份有限公司遂宁市分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:a04f457584c64b4e8b03b1f15e5676cd,
88,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,bf2e89d5218f480e81b3534124f60f82,中国人民财产股份有限公司广安市分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:bf2e89d5218f480e81b3534124f60f82,
89,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,C8E48F3E40A840C3BF23E99F060F36D6,中国共产党德阳市旌阳区委员办公室,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:C8E48F3E40A840C3BF23E99F060F36D6,
90,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,D93116B7B10342E8BE832AE47365AFDB,中国共产党德阳市旌阳区纪律检查委员会,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:D93116B7B10342E8BE832AE47365AFDB,
92,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,0a7b5c3731dc4ea2a450d181d095c12b,中国农业发展银行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:0a7b5c3731dc4ea2a450d181d095c12b,
93,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,d390e5974d4942bc818d974e81d03c0e,中国农业发展银行四川省分行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:d390e5974d4942bc818d974e81d03c0e,
94,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,529831f7a7694f03920b1f98fa098755,中国农业银行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:529831f7a7694f03920b1f98fa098755,
96,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,eac566373fa44172b5246071183ce2db,中国大唐集团财务有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:eac566373fa44172b5246071183ce2db,
98,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,22cd1150acbb4f57bbd4b5647c4a4595,中国大地财产保险股份有限公司西藏分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:22cd1150acbb4f57bbd4b5647c4a4595,
99,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,254b7e80a98f43c58330333358d92cd4,中国大地财产保险股份有限公司重庆分公司涪陵中心支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:254b7e80a98f43c58330333358d92cd4,
100,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,fdb0dc4222b7454fad455dcfb70debd2,中国太平洋财产保险股份有限公司天津分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:fdb0dc4222b7454fad455dcfb70debd2,
101,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,fdfe1027f30d4be1ae5071c9845eec39,中国太平洋财产保险股份有限公司宜宾中心支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:fdfe1027f30d4be1ae5071c9845eec39,
102,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,60f35363f252419aa7c35bd977451011,中国太平洋财产保险股份有限公司广元中心支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:60f35363f252419aa7c35bd977451011,
103,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,f9319dd3e70a4a88a9b36ecbd1044712,中国太平洋财产保险股份有限公司泸州中心支公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:f9319dd3e70a4a88a9b36ecbd1044712,
104,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,97ffc26330394ef1b56c2afc5a7f5d66,中国太平洋财产保险股份有限公司重庆分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:97ffc26330394ef1b56c2afc5a7f5d66,
105,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,ff7297147f014a9bb38d77cff575e014,中国工商银行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:ff7297147f014a9bb38d77cff575e014,
114,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,BD0B8260A59D4280BB0081F885FB4340,中国建筑第四工程局有限公司】,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:BD0B8260A59D4280BB0081F885FB4340,
115,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,5fa445578bfa42b6a5c22698955c1421,中国建设银行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:5fa445578bfa42b6a5c22698955c1421,
116,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,caaa9b6445d24ba1a58a5706d2b77778,中国建设银行股份有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:caaa9b6445d24ba1a58a5706d2b77778,
117,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,f9107291d076496f8aa376ae028a6826,中国建设银行股份有限公司广州天河支行,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:f9107291d076496f8aa376ae028a6826,
118,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,64a283f0da8447d2bbf2b815fa4737f5,中国机械总院集团北京机电研究所有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:64a283f0da8447d2bbf2b815fa4737f5,
121,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,593aca1fc8a6426ca8b11630c0e6d51c,中国核工业建设股份有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:593aca1fc8a6426ca8b11630c0e6d51c,
122,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,A0FABF68EF6E4579A22E70844AE02979,中国民用航空飞行学院,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:A0FABF68EF6E4579A22E70844AE02979,
127,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,0c463cdcf2284967a092a80b71c6faa6,中国石化销售股份有限公司四川绵阳石油分公司杨家加油站,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:0c463cdcf2284967a092a80b71c6faa6,
128,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,46b24ee0bbe4486091aac576e06250ad,中国石化销售股份有限公司广东广州石油分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:46b24ee0bbe4486091aac576e06250ad,
129,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,bd5e58e7613d4e0ba03cf63d269a977b,中国石化销售股份有限公司广东石油分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:bd5e58e7613d4e0ba03cf63d269a977b,
130,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,3aeb666c83e84a8b9f5868a07947b1cd,中国石化销售股份有限公司重庆三峡石油有分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:3aeb666c83e84a8b9f5868a07947b1cd,
131,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,c1ca66d8d7194899aabbd166bc81000b,中国石化集团西南石油局有限公司培训中心,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:c1ca66d8d7194899aabbd166bc81000b,
133,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,b4a7d7b0567f4c2e81365b88d61b185e,中国石油天然气股份有限公司四川德阳销售分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:b4a7d7b0567f4c2e81365b88d61b185e,
135,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,f1ea39a2460b4471908e0505ff5b22b4,中国石油天然气股份有限公司西藏拉萨销售分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:f1ea39a2460b4471908e0505ff5b22b4,
136,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,bfe31581e936417bb1e1129db3c64c37,中国石油天然气股份有限公司西藏销售分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:bfe31581e936417bb1e1129db3c64c37,
137,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,7a5ab4a11e454a21a4bb37f4c21e5eb3,中国石油天然气股份有限公司重庆渝北销售分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:7a5ab4a11e454a21a4bb37f4c21e5eb3,
138,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,319C44FE7C3B4DAB8B2CD2F9B26471CE,中国石油天然气股份有限公司青海格尔木销售分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:319C44FE7C3B4DAB8B2CD2F9B26471CE,
139,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,e4e03480425f42f2874e5057411f891e,中国石油天然气股份有限公司青海销售分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:e4e03480425f42f2874e5057411f891e,
140,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,F911367968014FE49D16970D8EE584B8,中国移动四川公司乐山分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:F911367968014FE49D16970D8EE584B8,
141,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,918748C835464BF4B87D3F8C9488B1A5,中国移动四川公司天府新区分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:918748C835464BF4B87D3F8C9488B1A5,
147,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,B693A65E3FA24EF9B3BF125FFB709A4E,中国移动通信集团四川有限公司德阳分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:B693A65E3FA24EF9B3BF125FFB709A4E,
148,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,BC479EED8D8B4B3485D9309AE05265AF,中国移动通信集团四川有限公司成都分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:BC479EED8D8B4B3485D9309AE05265AF,
149,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,1D8CD8B42D314D869150313EF836C1D6,中国移动通信集团四川有限公司眉山分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:1D8CD8B42D314D869150313EF836C1D6,
150,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,235DC5FBD338480BB6322FC527C2A018,中国移动通信集团四川有限公司绵阳分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:235DC5FBD338480BB6322FC527C2A018,
151,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,9068AF324EFF4044A5054E35322B5BF9,中国移动通信集团四川有限公司雅安分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:9068AF324EFF4044A5054E35322B5BF9,
152,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,9B581193F61B4416A9553DEAF85B29B8,中国移动通信集团有限公司乐山分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:9B581193F61B4416A9553DEAF85B29B8,
153,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,77fd53ab84cd43c68837e42305749db4,中国移动通信集团有限公司四川分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:77fd53ab84cd43c68837e42305749db4,
154,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,B626B00FAAE44A94B194E0662903B49B,中国移动通信集团有限公司四川巴中分公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:B626B00FAAE44A94B194E0662903B49B,
156,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,d1af09ef518946ee8fc69c6ea614ff3a,中国第二重型机械集团德阳万航模锻有限责任公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:d1af09ef518946ee8fc69c6ea614ff3a,
