id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,other_system_id,other_system_code
2167,135be6807d2043619fde2b6efe531cf6,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段,draft,5,筹备中,109801,16982986197570001
2168,1375f96aeadd4e518c7b0574d3965a4b,中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议,draft,5,筹备中,109360,16982984751960000
2169,1428742882bf4fc5988efcc289c8d5e8,安宁新能源磷铁项目,draft,5,筹备中,109409,16982984814150001
2170,1496d77696814bca8ab7b5d1423b5d5f,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）,draft,5,筹备中,109640,16982985687570001
2171,14b62e4158d24596a0e04828e39362b5,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,draft,5,筹备中,223775,17543642811060000
2172,14c4325bb56b408788e6f442f4384374,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,draft,5,筹备中,109433,16982984843680001
2173,14fe0f48d2af4716b1b3b24f8a4286c8,广汉市郑州路东段雨污水管网工程,draft,5,筹备中,109807,16982986205380000
2174,1524f421b94c41698305394cf8691f44,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,draft,5,筹备中,238993,17659359758260000
2175,152f26736dd64da29f1b4f494fcfef41,西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段,draft,5,筹备中,109512,16982984941180001
2176,15bc8bfa1f964a609140a3c52c72efaa,重庆江北国际机场飞行区服务综合服务外包项目,draft,5,筹备中,109825,16982986227880000
2177,15f176434d074d2ab18710410f83bd92,秦岭山道路项目道路照明专业分包工程,draft,5,筹备中,,
2178,162fdc7c89564d5189f449bce9454395,162井场外墙,draft,5,筹备中,109505,16982984932430001
2179,16979c84c8ba410eab2e7117be52eddf,旌阳区综合管廊项目泰山路段支护及防水工程二标,draft,5,筹备中,115130,17018337589970001
2180,16d5db4fb73845ab92b4b2c5bcaf9488,绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次),draft,5,筹备中,259218,17702768634550000
2181,16fce53311764d6c84b08f1357acf0ba,四川省绵阳外国语学校高中部教学综合楼室外电梯工程,draft,5,筹备中,109599,16982985635070001
2182,1710364e78bc40b48396fe20e5f0e9bd,南充市高坪区恒大悦龙台至三环6期厂区段损毁道路恢复工程建材及配套服务采购项目,draft,5,筹备中,109782,16982986173500001
2183,17510e7ec153446ca14f6efa72d6c899,天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程,draft,5,筹备中,109822,16982986223970001
2184,1791ed98bcc5407a9476f93365909791,S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目,draft,5,筹备中,190047,17339744805360000
2185,17cfa82ebcfb4d15baf187890f9e934d,经开物业小区门卫翻新工程,draft,5,筹备中,109655,16982985709920001
2186,18345028af09432ab7505fe2ce46d2b1,水韵江南小区维修,draft,5,筹备中,109639,16982985686480001
2187,18b103d698be404b80f9bf782c1a174d,德阳市旌合建设工程有限公司3#、4#、5#、6#楼幕墙工程专业分包,draft,5,筹备中,237363,17633452084000000
2188,1914e7b88af24bf0adc89495e5233c60,德阳市旌阳区供水建设项目（柏隆净水厂）,draft,5,筹备中,258462,17691387959010000
2189,1989ad3a331c42308a06490ef6d777b0,绵阳市安州区高级职业中学空调电力改造安装工程,draft,5,筹备中,239737,17670614336840000
