counterparty_text,normalized_name,contract_rows,match_type,recommended_action,manual_confirm_required,auto_create_allowed,existing_partner_hint,company_candidate_count,supplier_candidate_count,source,source_id,source_name,source_short_name,source_code,source_address,source_contact,source_phone,confirm_result,confirmed_partner_action,confirmed_source,confirmed_source_id,review_note
中国建筑第八工程局有限公司,中国建筑第八工程局,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,9D598AA886B8493D8143D98EF587F685,中国建筑第八工程局有限公司,,,,,,,,,,
德阳市住房保障和房地产事务中心,德阳市住房保障和房地产事务中心,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,41746ede278248f581dbd765a371bb79,德阳市住房保障和房地产事务中心,,,,,,,,,,
中建八局第一建设有限公司,中建八局第一建设,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,C41F0CB325414297AEE85C1C7809E6C8,中建八局第一建设有限公司,,,,,,,,,,
德阳市罗江区水利灌排工程管理中心,德阳市罗江区水利灌排工程管理中心,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,6A01A2851104408C8E7DCF445BE934C5,德阳市罗江区水利灌排工程管理中心,,,,,,,,,,
重庆巴驿公共交通站场管理有限公司,重庆巴驿公共交通站场管理,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,44c97020ed7c4f4a98352c4b0249633a,重庆巴驿公共交通站场管理有限公司,,,,,,,,,,
四川富祥建筑工程有限公司,四川富祥建筑工程,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,C4607CDAFBA646C3943BFCE3E549DDA1,四川富祥建筑工程有限公司,,,,,,,,,,
中国二重型机械集团德阳万航模锻有限责任公司,中国二重型机械集团德阳万航模锻,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,DA1CBDB43B4A4257A778A7ECE6BAFAEA,中国二重型机械集团德阳万航模锻有限责任公司,,,,,,,,,,
德阳旌信物业服务股份有限公司,德阳旌信物业服务,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,8170A14AD9A44B558918ED4EF79143C2,德阳旌信物业服务股份有限公司,,,,,,,,,,
德阳鑫凯基置业有限公司,德阳鑫凯基置业,3,cross_source_conflict,manual_confirm_source,yes,no,no,1,1,company,9858e18c4918448fb0904a2691964064,德阳鑫凯基置业有限公司,,,,,,,,,,
中国电信股份有限公司德阳分公司,中国电信股份有限公司德阳分,3,cross_source_conflict,manual_confirm_source,yes,no,no,3,1,company,6edb2f96c55d458cab3ad8827cbc7fac,中国电信股份有限公司德阳分公司,,,,,,,,,,
