id,legacy_contract_id,name,type,state,target_state,project_id,partner_id,company_id,amount_total,request_count,line_count,audit_count,approved_audit_count
5256,b6867770fa124fdc8cf8b8d4aa4b11fa,CONOUT2603776,in,confirmed,confirmed,204,2496,1,172438.0,0,0,3,3
5257,b687b9a2868f4dbeae716f6e9cdfc04e,CONOUT2603777,in,running,running,50,5014,1,222836.0,0,1,2,2
5258,b68cf9464a1d49028947dcb6fb4e4564,CONOUT2603778,in,confirmed,confirmed,657,3211,1,35068.71,0,0,3,3
5259,b690bd7e711d4690a5d6117fad992c35,CONOUT2603779,in,running,running,577,105,1,83061945.49,0,16,3,3
5260,b69c451dbbf145998a72a8f0551e2bef,CONOUT2603780,in,running,running,507,1163,1,244080.0,0,1,3,3
5261,b69dfc76b9b94922a29f1d1b25ebb16c,CONOUT2603781,in,confirmed,confirmed,681,3430,1,22600.0,0,0,3,3
5262,b69e782d176b470db68a3f53788a9b68,CONOUT2603782,in,running,running,134,3456,1,42375.0,0,1,2,2
5263,b6a2fe9041bb4f99bef4833b250c936d,CONOUT2603783,in,running,running,517,4529,1,406800.0,0,1,2,2
5264,b6a9241cc5594ccfb2bb330694209c57,CONOUT2603784,in,running,running,621,2870,1,376290.0,0,1,4,4
5265,b6b1541b3ad0415785e1d83af0443f36,CONOUT2603785,in,confirmed,confirmed,403,1885,1,8610.6,0,0,2,2
5266,b6b2f46164c04559a9443a9dbe96f08a,CONOUT2603786,in,running,running,691,2518,1,71031.8,0,2,2,2
5267,b6ca6901582b4549980155294cac7240,CONOUT2603787,in,running,running,474,2982,1,878272.67,0,5,3,3
5268,b6ce069227d4478a924cd15d95de1ef9,CONOUT2603788,in,running,running,335,5938,1,65540.0,0,1,2,2
5269,b6e72253dbf84621b0b0913dbd01835d,CONOUT2603789,in,running,running,635,1449,1,124300.0,0,1,2,2
5270,b6fa1ed948a6456987f71cef88303dc8,CONOUT2603790,in,running,running,406,5541,1,169500.0,0,2,3,3
5271,b70e1225638b4fd4aab9f0578433f411,CONOUT2603791,in,running,running,708,972,1,137634.0,0,1,3,3
5272,b714eb6a2743445e81fdb05fc68137c3,CONOUT2603792,in,running,running,403,1841,1,452000.0,0,1,2,2
5273,b71656b18b9e488fb64536fba4bb1d3d,CONOUT2603793,in,running,running,406,5105,1,338170.58,0,1,2,2
5274,b72061176a5b4a5abf5fcc2f6aaf921b,CONOUT2603794,in,confirmed,confirmed,222,5601,1,2951.0,0,0,2,2
5275,b763d094d67a45cead5d96b0a4c669f3,CONOUT2603795,in,running,running,538,3322,1,1130000.0,0,1,2,2
5276,b787e8236540451890682379834c02fa,CONOUT2603796,in,running,running,2,1047,1,63404.3,0,1,2,2
5277,b7933b47af334f13a25b500a9b125769,CONOUT2603797,in,running,running,301,1609,1,2599000.0,0,3,2,2
5278,b79642cbbe6a46a2a2cf4997434fe81f,CONOUT2603798,in,running,running,134,2883,1,221480.0,0,1,2,2
5279,b7b794523b424039a5a9b9b301bc6578,CONOUT2603799,in,running,running,255,4923,1,44725.4,0,1,2,2
5280,b7c2852957fe4a6886c228ed9375a311,CONOUT2603800,in,running,running,579,4557,1,4674354.21,0,12,2,2
5281,b7d5220662ec45a3a311e67c6eb1ed6d,CONOUT2603801,in,running,running,352,3795,1,1607425.0,0,5,5,5
5282,b7e71a8be5234f88b578b0076f3376f3,CONOUT2603802,in,running,running,505,1902,1,282500.0,0,1,2,2
5283,b7e9d8d1e3d642248f46b53273b4fc0f,CONOUT2603803,in,confirmed,confirmed,637,5518,1,7740.5,0,0,2,2
5284,b7f5c72f734d4f278302bbac21d74aa9,CONOUT2603804,in,confirmed,confirmed,455,3565,1,196018.28,0,0,2,2
5285,b7f6d99972a0402ea9aa9d765b85783b,CONOUT2603805,in,running,running,338,2386,1,60007.54,0,1,3,3
5286,b80d8323b26f498ea54dbb8f70ce9cc5,CONOUT2603806,in,confirmed,confirmed,187,1381,1,29945.0,0,0,3,3
5287,b817efa6e49d43f9a11f440ea5be34d3,CONOUT2603807,in,running,running,238,6168,1,530987.0,0,7,3,3
5288,b81f3fa878c045c6bef27882bff9396b,CONOUT2603808,in,running,running,455,1697,1,216960.0,0,1,2,2
5289,b82b813bb83045cf9f9945b3be270387,CONOUT2603809,in,running,running,755,1344,1,565000.0,0,2,3,3
5290,b83f90b035cc4a978af7d3440bc9680b,CONOUT2603810,in,running,running,460,6044,1,37290.0,0,1,2,2
5291,b8477d05020b412599c190a04832b7ca,CONOUT2603811,in,running,running,149,5092,1,99345.19,0,1,3,3
5292,b849e6dea7774e10afce090701e42ad3,CONOUT2603812,in,running,running,91,2446,1,53070.45,0,1,2,2
5293,b84cd7fbd1014fa0a027ed18bf6668fb,CONOUT2603813,in,running,running,225,3271,1,48208.38,0,1,2,2
5294,b84f4d151e734df78aa24875566b729b,CONOUT2603814,in,running,running,577,2262,1,112819.2,0,1,2,2
5295,b856b0d5828c401eb4d1ed253fd9c2e5,CONOUT2603815,in,running,running,285,3879,1,797045.5,0,4,3,3
5297,b87c23d5b7024eb6b5145ebab2b974ef,CONOUT2603817,in,running,running,652,3571,1,219730.76,0,1,3,3
5298,b88227ff8408434c9757686bf7b48561,CONOUT2603818,in,running,running,362,2725,1,50850.0,0,1,2,2
5299,b8883eb245ee4245bed345174132ac06,CONOUT2603819,in,running,running,152,4386,1,55336.1,0,1,3,3
5300,b88ae2c267204ef9a66d5f8e8a6976ed,CONOUT2603820,in,running,running,577,5369,1,20286738.75,0,4,3,3
5301,b8988aee176a4bf7ba8079e6aeb5c8cf,CONOUT2603821,in,running,running,134,5978,1,226000.0,0,2,2,2
5302,b8994f0cffa24afa88c9ebfee839689c,CONOUT2603822,in,running,running,488,1136,1,1925502.16,0,1,2,2
5304,b8ab4d9d71ce4f3ebbb955eb8ab39016,CONOUT2603824,in,running,running,481,1348,1,17402.0,0,1,2,2
5305,b8b3169e56184b3981696fb9c808e0fb,CONOUT2603825,in,running,running,609,1231,1,363577.5,0,4,4,4
5306,b8cc5b636fb24a8d977283bc21a4a631,CONOUT2603826,in,running,running,40,499,1,190292.0,0,1,3,3
5307,b8cd0cb5b6974c8da7acded6d57d3c0d,CONOUT2603827,in,confirmed,confirmed,147,2105,1,0.0,0,0,3,3
5308,b8db389f130142f7942e83b29a26b8ff,CONOUT2603828,in,confirmed,confirmed,691,5474,1,29154.0,0,0,3,3
5309,b8f1a6a59b0649b7a089535ac7608e09,CONOUT2603829,in,running,running,673,4930,1,536750.0,0,3,3,3
5310,b8f492cca2e2469c939dbd80799b138f,CONOUT2603830,in,confirmed,confirmed,650,2232,1,0.0,0,0,4,4
5311,b8f6fed2e95a4308bd245e4d95624927,CONOUT2603831,in,confirmed,confirmed,713,6310,1,0.0,0,0,3,3
5312,b91e6d7c45ad43e3aff08b5d5007ddd4,CONOUT2603832,in,running,running,468,680,1,133529.84,0,1,2,2
5313,b924883b139b4d77b56c388991ee775f,CONOUT2603833,in,running,running,633,5445,1,127916.0,0,1,3,3
5314,b94d9b9e18ad41df80a7a36fc53ca49f,CONOUT2603834,in,running,running,72,4599,1,291298.52,0,1,2,2
5315,b94e50fe93594154b5575e5c0af134e4,CONOUT2603835,in,running,running,78,4911,1,90400.0,0,1,3,3
5316,b94f9e8b9e11422892dce4b41a1aa8e9,CONOUT2603836,in,confirmed,confirmed,744,902,1,70625.0,0,0,2,2
5317,b95ad9c15f1a4197bac6a726bb20f360,CONOUT2603837,in,confirmed,confirmed,296,6455,1,0.0,0,0,2,2
5318,b95b44041e774d3fb85260fa3565256d,CONOUT2603838,in,confirmed,confirmed,80,446,1,2222145.0,0,0,3,3
5319,b964278170c14ab6a6bd61bf3873ab11,CONOUT2603839,in,running,running,455,2694,1,72885.0,0,1,2,2
5320,b9691b374bce49d4bf78fc1e1dfc1152,CONOUT2603840,in,confirmed,confirmed,342,5223,1,282500.0,0,0,4,4
5321,b98161b431ee4ac28db22af5b3641289,CONOUT2603841,in,running,running,246,4291,1,545961.57,0,1,2,2
5322,b98a5ae143324e44acfd80b1362d15f5,CONOUT2603842,in,running,running,155,3589,1,49255.57,0,3,3,3
5323,b9a673e5b6114f0c9da1fd2ff08cee51,CONOUT2603843,in,running,running,279,3163,1,113847.5,0,1,2,2
5324,b9be542c97f8498dbc8b5b275ea57b5a,CONOUT2603844,in,running,running,251,4530,1,46602.33,0,1,2,2
5325,b9d1c95864c34e738b0b828513b8a48b,CONOUT2603845,in,confirmed,confirmed,509,3807,1,124300.0,0,0,2,2
5326,b9d7e54c37c5415b8d1851d7cf627599,CONOUT2603846,in,confirmed,confirmed,613,4868,1,518966.37,0,0,3,3
5327,b9e25dd75e0a4f299f4d2b868b36574d,CONOUT2603847,in,confirmed,confirmed,231,2834,1,37290.0,0,0,3,3
5328,b9e3d8d6e05b4be3837e32a9dc703ac4,CONOUT2603848,in,running,running,188,3509,1,19648.06,0,1,3,3
5329,b9ef120541e440ea8dfbd3d68b7e1cb9,CONOUT2603849,in,running,running,749,3601,1,2260000.0,0,1,4,4
5330,b9ff973cd4b04d5fae8ab76c6feec39b,CONOUT2603850,in,running,running,445,5677,1,203400.0,0,1,2,2
5331,ba0b525d2bbe4167af366784f0052bf9,CONOUT2603851,in,running,running,375,3455,1,259900.0,0,2,3,3
5332,ba15c235c9744d22a595a186f67bbe50,CONOUT2603852,in,running,running,251,661,1,107344.35,0,1,2,2
5333,ba1935d0ca8d4dd3bb11081febb48699,CONOUT2603853,in,running,running,691,2035,1,16373.7,0,1,2,2
5334,ba3834c557c94a038ccec306091da0b0,CONOUT2603854,in,running,running,134,5490,1,41810.0,0,2,2,2
5335,ba6a519c7e31468f91c513eb8669d99b,CONOUT2603855,in,running,running,212,4520,1,678000.0,0,7,3,3
5336,ba6b3b16b2e34c8ba6f99e36fc1b123f,CONOUT2603856,in,running,running,708,5222,1,77970.0,0,1,3,3
5337,ba7271e0153345e3bb0baf4ac8a02e36,CONOUT2603857,in,running,running,335,1832,1,57719.95,0,1,2,2
5338,ba844e914463463ab09cb84cd5b31dbb,CONOUT2603858,in,running,running,673,4549,1,34916.44,0,1,4,4
5339,baa273f344e04f2abef8395e62f0fd20,CONOUT2603859,in,running,running,602,1052,1,98310.0,0,1,3,3
5340,baa4b832756b4e1f9def7ec44658dfd4,CONOUT2603860,in,running,running,579,4608,1,113000.0,0,1,2,2
5341,baa7466a8c554a8a92b7416e29055801,CONOUT2603861,in,confirmed,confirmed,571,661,1,237435.6,0,0,3,3
5342,bacbe5fcfaae4ee28d958279993f9114,CONOUT2603862,in,running,running,240,2208,1,318273.9,0,1,2,2
5343,bad3b344f48c4d138a45ad2a542de07a,CONOUT2603863,in,running,running,235,2928,1,55646.85,0,1,3,3
5344,bad822ebab0647a5b79b7e1328a7d100,CONOUT2603864,in,running,running,694,5243,1,79326.0,0,2,2,2
5345,bae13494a53044f792f7aaaf2f067336,CONOUT2603865,in,confirmed,confirmed,338,6242,1,328954.3,0,0,2,2
5346,bae2848cbfd847718a195879e994907e,CONOUT2603866,in,running,running,742,3857,1,56500.0,0,2,2,2
5347,bb09cfc065fb4d90b88ec195971e3742,CONOUT2603867,in,confirmed,confirmed,341,2394,1,602290.0,0,0,3,3
5348,bb159e7f65ef4dc985a8b9e1a6964a5f,CONOUT2603868,in,running,running,44,1508,1,120218.44,0,1,3,3
5349,bb18f9caeee74d2698c5930ecefdace6,CONOUT2603869,in,running,running,338,5860,1,1695000.0,0,5,3,3
5350,bb2035b2c767498287f7426c5081c1e0,CONOUT2603870,in,running,running,58,2614,1,64750.44,0,2,2,2
5351,bb25caf530aa4dbda2afac3e237cac56,CONOUT2603871,in,running,running,571,6536,1,32069.4,0,1,3,3
5353,bb398ce35f374d0c974c7693778a7a15,CONOUT2603873,in,running,running,490,5568,1,97971.0,0,1,3,3
5354,bb3f89c026a646baa2b8a575266fd2b9,CONOUT2603874,in,running,running,123,2861,1,302735.05,0,1,2,2
5355,bb4201671b034a3d8fce4ae45fecef11,CONOUT2603875,in,running,running,481,5944,1,17352.28,0,1,2,2
5356,bb4754bf8f484c469ea08f44462bff18,CONOUT2603876,in,running,running,457,6364,1,270476.8,0,1,2,2
5357,bb572c6a0c454df78d59be858c898b51,CONOUT2603877,in,running,running,88,2869,1,91910.88,0,1,2,2
5358,bb5d26a93d5042a4bf52e1e2aec2f2e4,CONOUT2603878,in,running,running,335,1077,1,255018.4,0,1,2,2
5359,bb647feb72b2428198c1ee2b9564ac38,CONOUT2603879,in,running,running,571,4894,1,79017.46,0,1,2,2
5360,bb7d2ee3f98c4ebdb95f9374fa560e2b,CONOUT2603880,in,running,running,410,5841,1,113700.6,0,1,2,2
5361,bb7ed67150ac48d1b543c17abafbd67f,CONOUT2603881,in,running,running,518,3514,1,259843.5,0,1,2,2
5362,bbbe66701c384486aa8f257233242667,CONOUT2603882,in,running,running,466,943,1,226000.0,0,1,2,2
5363,bbf825a52ab84a6f8ee1a6a812344d01,CONOUT2603883,in,running,running,408,4619,1,10961.0,0,1,2,2
5364,bc03a374cf8b438d98335c54acff4b89,CONOUT2603884,in,running,running,457,3797,1,181704.0,0,1,5,5
5365,bc03fa258ca84138a9c89a0b3df9ef65,CONOUT2603885,in,confirmed,confirmed,498,2229,1,958918.0,0,0,3,3
5366,bc1ffcbcef524170b230f08d42af6d6b,CONOUT2603886,in,running,running,408,6015,1,12905.73,0,1,2,2
5367,bc4d7b378b7f468c875b108e13894a49,CONOUT2603887,in,running,running,697,2239,1,226000.0,0,1,2,2
5368,bc8a320f696a4906883e094e49fafcbf,CONOUT2603888,in,running,running,124,5584,1,74525.76,0,2,3,3
5369,bc8f1b8ff45f4d9ebd611d71bea23a13,CONOUT2603889,in,running,running,4,4854,1,48313.94,0,1,3,3
5370,bc9033444fcf4c11a2ba9efb795edf8a,CONOUT2603890,in,running,running,382,3167,1,139679.3,0,1,3,3
5371,bc97773435ea47e0a92d505ef2f71571,CONOUT2603891,in,confirmed,confirmed,442,950,1,56500.0,0,0,3,3
5372,bc97806ec8da485a9b18d7f10a5d78e4,CONOUT2603892,in,running,running,7,2154,1,129950.0,0,1,2,2
5373,bca6fa7e5cc7400f9fc8ba680d3df54a,CONOUT2603893,in,running,running,231,618,1,54579.0,0,2,3,3
5374,bcb5c24786e440798f831282aaff6586,CONOUT2603894,in,running,running,554,5351,1,223740.0,0,1,2,2
5375,bcbf2a8a689445dfaf7cecf6b4122dc6,CONOUT2603895,in,running,running,58,2107,1,142945.0,0,1,2,2
5376,bcc99b873b1f452d9a2189ea082babeb,CONOUT2603896,in,running,running,480,2237,1,113361.6,0,1,2,2
5377,bccd016e8724485da92082e3033ad0e4,CONOUT2603897,in,running,running,227,3363,1,647454.57,0,1,2,2
5378,bcd7a2477d89404e8397ab416b3eed01,CONOUT2603898,in,confirmed,confirmed,222,2341,1,118845.94,0,0,2,2
5379,bcea6ae4904b454885a32a1620d6396d,CONOUT2603899,in,running,running,290,3778,1,565000.0,0,1,4,4
5380,bcebd78e22dc463ba924059df29927b0,CONOUT2603900,in,running,running,17,4690,1,284353.2,0,1,2,2
5381,bd0813f60efc44648d64fa39cec39104,CONOUT2603901,in,confirmed,confirmed,224,3198,1,0.0,0,0,4,4
5382,bd14f728ba4b45cd986a8c6a58433631,CONOUT2603902,in,confirmed,confirmed,149,3884,1,40633.39,0,0,3,3
5383,bd247896ace1430981267f759db19dd6,CONOUT2603903,in,confirmed,confirmed,492,4037,1,565000.0,0,0,3,3
5384,bd2a31d794cd425985d8d5bf5a1ebc75,CONOUT2603904,in,running,running,628,1056,1,79100.0,0,1,2,2
5385,bd2c27149d204fd6af530687e80c994b,CONOUT2603905,in,running,running,171,2754,1,45200.0,0,1,3,3
5386,bd3204584831401fb623a192e83014c0,CONOUT2603906,in,running,running,742,2614,1,32581.83,0,1,2,2
5387,bd3de8d8b55d405eb4d0125e52a673cd,CONOUT2603907,in,running,running,295,2230,1,83877.05,0,1,3,3
5388,bd4e655419304506b538932ece831b5a,CONOUT2603908,in,running,running,635,5517,1,7684000.0,0,6,3,3
5389,bd50b24d94c545598f9b448cc4313135,CONOUT2603909,in,running,running,183,875,1,162862.38,0,1,2,2
