coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,target_material_catalog_id,target_catalog_name,target_spec_model,target_uom_text,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count,has_promoted_product
catalog_ready_by_legacy_id,69043f56addb4e909419e2cce6b5dacc,块石,200mm~800mm,m3,2,2,6437.0000,919010.00,6840671,块石,200mm~800mm,m3,6840671,1,6840671,1,no
catalog_candidate_name_spec,53b0e8c47c75456691a20c4b67f0f099,连砂石,,m3,1,1,10553.8000,875965.40,,,,,,0,1977939,3,no
catalog_ready_by_legacy_id,3cc6d10f287e404ab2b45e39d9fe6c99,仿花岗石芝麻灰pc砖,300*600*50,平方,7,7,11220.5310,875200.88,6840672,仿花岗石芝麻灰pc砖,300*600*50,平方,6840672,1,6840672,1,no
catalog_candidate_name_spec,35212,碎石,,t,5,5,12781.1813,863907.84,,,,,,0,1494879,394,no
catalog_ready_by_legacy_id,001764a2bd3a44aa808eeae067a48926,螺纹钢HRB400E,14,吨,3,3,235.6180,863870.24,6840673,螺纹钢HRB400E,14,吨,6840673,1,6840673,1,no
catalog_ready_by_legacy_id,75149db58f034e6d8cbc32fdbfd0fd51,烧结普通砖,240*115*53mm,匹,4,4,1909908.0000,826390.44,6840674,烧结普通砖,240*115*53mm,匹,6840674,1,6840674,1,no
catalog_candidate_exact_text,0d6d977c3986463483dff56dd3717032,机砂,,吨,1,1,8096.8500,825878.70,,,,,1704528,1,1703517,2,no
catalog_ready_by_legacy_id,af2584e2b70e43d78d6c6656d6ca85ce,PC砖,,M2,3,3,12820.4095,802563.95,6840675,PC砖,,M2,6840675,1,6840675,1,no
catalog_ready_by_legacy_id,7b02672d31284f8c94be9b74f9aeb567,pc砖,,平方米,1,1,10257.0000,800046.00,6840676,pc砖,,平方米,6840676,1,6840676,1,no
catalog_ready_by_legacy_id,b6d5f078843647d2a9833e1bb3a9d7b7,仿花岗岩芝麻灰PC路缘石,1000*300*150,立方,3,3,522.0000,782998.19,6840677,仿花岗岩芝麻灰PC路缘石,1000*300*150,立方,6840677,1,6840677,1,no
catalog_ready_by_legacy_id,a889a257c85f446099efbe4eb9a3a37b,地铺石,300*600,,7,3,15373.5682,766078.00,6840678,地铺石,300*600,,6840678,1,6840678,1,no
catalog_ready_by_legacy_id,ea05d38044194c80b4d1cf39940ff662,砂石,1-3石,吨,3,3,11471.9400,718978.12,6840679,砂石,1-3石,吨,6840679,1,6840679,1,no
catalog_ready_by_legacy_id,40c5048ebeb147c7928e3fca32df455e,中粒式改性沥青砼,AC-20,吨,1,1,1992.0000,697200.00,6840680,中粒式改性沥青砼,AC-20,吨,6840680,1,6840680,1,no
catalog_ready_by_legacy_id,15bad534041b4f548dca2f778b8d4955,商品混凝土,C30P8,立方米,3,3,1556.0000,693620.00,6840681,商品混凝土,C30P8,立方米,6840681,1,6840681,1,no
catalog_ready_by_legacy_id,aa3f846e074a437986ff6bf6eef67c97,标砖,240*115*53,匹,7,7,1689517.0000,668776.55,6840682,标砖,240*115*53,匹,6840682,1,6840682,1,no
catalog_ready_by_legacy_id,71c7b525fe54427786dec5f43588453d,商品混凝土,C15,立方米,9,9,1727.4900,659995.98,6840683,商品混凝土,C15,立方米,6840683,1,6840683,2,no
catalog_ready_by_legacy_id,4f5621c67c1a46bcb1ba6c876cb309a1,干混地面砂浆,M20,t,8,7,1476.5345,616614.29,6840684,干混地面砂浆,M20,t,6840684,1,6840684,2,no
catalog_ready_by_legacy_id,eca68bba74e14a6d86b90099bbe4a418,沥青混凝土,AC-20C,m3,1,1,704.8320,587572.77,6840685,沥青混凝土,AC-20C,m3,6840685,1,6840685,1,no
catalog_ready_by_legacy_id,f0f285ff96ed493aa7e6226a36b3a4a9,CPVC电力管,φ200*10mmSN≥8,m,2,2,8397.0000,561316.55,6840686,CPVC电力管,φ200*10mmSN≥8,m,6840686,1,6840686,1,no
catalog_ready_by_legacy_id,894c684f571f4d19980afcdaeb4bc342,商品混泥土,C20,立方米,1,1,1370.0000,534300.00,6840687,商品混泥土,C20,立方米,6840687,1,6840687,1,no
catalog_ready_by_legacy_id,52a8ce327ab44189bcd4909fa8fc6e3e,仿花岗岩芝麻灰pc路缘石,1000*300*150,立方,5,5,352.0000,527999.88,6840688,仿花岗岩芝麻灰pc路缘石,1000*300*150,立方,6840688,1,6840688,1,no
